	K12_batch1	K12_batch2	K12_starvation1	K12_starvation2
ung	789	1042	26	18
yfiF	1446	1962	47	50
yfiP	143	150	3	3
yfiQ	619	859	1088	1158
pssA	2818	3655	369	355
kgtP	11109	14316	1881	2027
clpB	7236	11636	985	1052
yfiH	503	712	13	11
rluD	1408	1768	65	81
yfiO	5919	7482	66	66
pheA	3375	4150	34	30
tyrA	3246	4547	81	67
aroF	5827	7532	98	130
yfiN	130	175	2	7
trmD	35920	48359	262	303
ffh	2626	3986	181	193
ypjD	349	455	7	6
yfjD	704	949	15	12
yfjB	331	432	15	23
recN	519	664	104	138
gabT	125	207	310	482
gabP	50	72	32	31
csiR	156	235	46	71
nrdF	114	124	8	5
proV	1399	1691	5	12
proW	366	519	6	9
proX	1020	1279	12	10
ygaZ	714	1035	19	13
emrA	617	861	9	11
emrB	365	557	59	51
gshA	3539	5098	163	173
alaS	17716	25082	151	176
recA	5053	7480	556	496
mltB	159	199	4	5
srlE	22	22	8	9
srlD	104	143	15	19
srlR	299	422	28	23
gutQ	203	334	18	22
norV	64	96	6	8
norW	31	27	1	1
ascG	646	907	9	11
ascF	63	92	18	25
hycG	36	56	4	2
hycE	19	21	1	1
hycD	8	9	0	1
hycC	5	15	0	0
hycB	1	4	0	0
hypB	58	104	4	4
hypD	280	408	23	23
hypE	101	172	25	33
fhlA	103	122	25	23
mutS	981	1535	11	14
ygbI	397	476	41	54
ygbJ	35	46	41	42
ygbK	47	80	22	27
ygbL	28	49	4	6
ygbM	34	49	4	7
ygbN	66	94	8	11
nlpD	26066	35717	2653	2838
pcm	819	1126	57	63
surE	807	1146	40	52
truD	1614	2252	54	55
ispD	582	909	5	12
cysC	2022	2938	6	19
cysN	7554	11395	59	80
cysD	5250	7397	14	29
iap	290	414	7	11
cysH	5027	7259	28	41
cysI	9208	14204	41	68
cysJ	7565	11203	22	27
ygcQ	24	56	2	2
ygcR	18	16	1	0
ygcS	16	18	0	2
ygcU	27	35	2	3
ygcW	2	4	2	1
yqcE	44	48	1	3
ygcF	688	928	501	472
eno	37245	59259	1620	1850
pyrG	8532	12711	1033	1021
mazG	901	1204	84	88
relA	2947	4130	136	152
barA	762	1052	18	21
gudD	130	235	21	24
gudX	65	98	8	22
gudP	12	24	22	14
truC	208	325	4	3
queF	875	1144	14	17
ygdH	739	849	263	268
sdaC	641	856	35	42
sdaB	268	487	16	14
exo	145	211	6	7
fucO	117	142	59	79
fucA	32	51	20	17
fucP	26	30	21	19
fucI	46	82	26	19
fucK	144	181	12	15
fucR	386	469	22	27
ygdE	623	943	47	43
gcvA	399	528	34	32
csdA	384	508	12	17
ygdL	381	616	20	13
mltA	972	1354	46	47
amiC	756	1314	18	15
argA	4819	7010	35	41
recD	687	1125	39	32
ptr	1333	1976	26	23
recC	1049	1368	34	45
thyA	1306	1721	8	12
lgt	827	1133	5	12
ptsP	2443	3425	65	47
mutH	171	224	12	16
ygdQ	163	181	7	10
tas	841	1161	50	60
ygeD	247	292	23	30
aas	902	1255	31	34
galR	337	419	24	32
lysA	1444	2143	14	13
lysR	68	104	4	4
ygeA	453	602	13	22
araE	142	210	36	51
kduD	103	120	11	9
kduI	67	97	14	18
yqeF	740	992	153	188
yqeG	51	85	9	8
yqeH	34	51	3	2
yqeI	56	101	1	1
ygeH	13	32	2	4
ygeR	624	755	29	35
xdhA	49	80	13	12
xdhB	23	39	1	8
ygeV	113	157	551	622
ygeW	14	12	2	2
ygeX	25	28	2	5
