"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_batch1","IAI1_batch2","IAI1_K12ref_batch1","IAI1_K12ref_batch2"
"1782","kefB",219.974986507823,-0.00308938217169368,0.0568374315022043,-0.0543547111479495,0.956652560747587,0.999909243911142,235.983262316569,205.950564100223,237.857956662008,200.108162952493
"1783","yheS",583.120615582193,0.0146082695671381,0.0646965337699923,0.225796788728638,0.821359474808469,0.999909243911142,569.473497604221,583.916656170519,586.088850048473,593.003458505558
"1784","yheT",181.304261601984,-0.00922703666622382,0.055630438653696,-0.165863093830032,0.868264691992043,0.999909243911142,194.194559614677,173.185701629733,188.232915344035,169.603869819491
"1785","prkB",227.04902804074,0.0120119290114566,0.0589851011504356,0.203643441770514,0.838632142792346,0.999909243911142,225.331240059224,222.332995335468,233.579935858735,226.951940909535
"1786","crp",2250.07673020269,0.0821248849308552,0.0640064597174932,1.28307182264621,0.199466914505187,0.999909243911142,2217.25940218277,2064.18633564087,2444.46108699049,2274.40009599663
"1787","yhfK",579.850551840227,0.00842615422952909,0.062813209495851,0.134146213784629,0.893286956548052,0.999909243911142,625.191767873411,525.407973187501,633.147078884482,535.655387415514
"1788","argD",3689.00199057884,0.0134689027083595,0.0619712556897886,0.217341129503348,0.827942506355697,0.999909243911142,3715.09760883099,3609.9857400522,3774.06995264791,3656.85466078427
"1789","fic",41.9491177962497,-0.000659329272383195,0.03494819857542,-0.0188659015130731,0.984948081347821,0.999909243911142,38.5111573919401,45.636772726754,38.5021872294618,45.1463538368429
"1790","tsgA",158.892573167477,0.0125651859553014,0.0536422353306923,0.234240535985122,0.81479824708033,0.999909243911142,166.335424480082,145.101533797884,172.832040452251,151.30129393969
"1791","nirB",127.937341432305,0.000288310025513758,0.0206837088946904,0.0139389906801371,0.988878654682129,0.999909243911142,77.0223147838803,177.866396268374,78.7155827802329,178.145071896731
"1792","nirC",24.7415649673845,-0.00022437255210059,0.0280954593326005,-0.00798607879815798,0.993628098756274,0.999909243911142,26.2203624796188,23.4034731932072,27.3793331409506,21.9630910557614
"1793","cysG",516.40667260263,-0.0209079660023425,0.064001170322356,-0.326680995004231,0.74390917606335,0.999909243911142,543.253135124602,507.855368292595,531.330183766572,483.188003226751
"1794","frlA",9.20807588814414,0.00121546965453844,0.0180558119472039,0.0673173634114342,0.946329054239552,0.999909243911142,9.83263592985706,8.19121561762251,10.2672499278565,8.54120207724055
"1795","frlB",9.94537478275754,-0.00166681948316714,0.018256393190189,-0.0913005907466373,0.927253748602821,0.999909243911142,12.2907949123213,8.19121561762251,11.9784582491659,7.32103035192047
"1796","frlC",19.8161710506505,0.00121073692056383,0.0257057648290711,0.0470998209395654,0.962433670050378,0.999909243911142,20.4846581872022,18.7227785545657,20.5344998557129,19.5227476051213
"1797","frlD",19.9079317435805,0.00228456553237936,0.0246906814191286,0.0925274395468668,0.926278991122426,0.999909243911142,15.5683402222737,23.4034731932072,16.2564790524394,24.4034345064016
