	IAI1_batch1	IAI1_batch2	IAI1_K12ref_batch1	IAI1_K12ref_batch2
yfaQ	29	22	29	22
yfaT	1	2	1	3
gyrA	8946	6396	8781	6270
ubiG	443	277	410	253
nrdA	2307	1368	2050	1206
nrdB	1607	1123	1425	990
inaA	301	187	301	187
glpQ	331	247	308	229
glpT	100	59	96	59
glpA	20	13	20	13
glpB	14	10	11	8
glpC	23	14	22	14
yfaY	333	223	321	218
ais	146	85	131	76
yfbE	547	374	503	347
yfbF	144	76	141	76
yfbG	360	251	353	245
yfbH	123	84	122	84
arnT	146	103	142	102
menE	341	266	309	245
menC	437	291	343	224
menB	780	557	702	504
yfbB	160	142	152	139
menD	252	199	248	196
menF	325	237	321	236
elaC	145	91	144	90
nuoN	2334	1580	2075	1422
nuoM	2164	1484	2152	1471
nuoL	3941	2699	3876	2633
nuoH	2602	1883	2601	1883
nuoG	8739	6362	8445	6171
nuoF	3788	2804	3329	2505
nuoC	4672	3515	4365	3288
nuoB	2457	1674	2424	1647
lrhA	636	565	633	565
yfbQ	690	464	688	464
yfbS	205	139	203	139
yfbT	1907	1345	1854	1310
ackA	2302	1554	2375	1605
pta	3849	2537	3847	2537
yfcF	111	58	111	58
yfcG	13	11	13	11
yfcH	691	437	595	383
hisP	1338	909	1333	906
hisM	1094	758	1063	734
hisQ	2094	1634	2063	1618
hisJ	10536	7580	10501	7561
purF	4608	3337	4568	3312
dedD	569	370	567	367
folC	1061	762	1024	734
accD	5631	4128	5626	4125
truA	625	456	589	433
usg	1225	873	1089	788
pdxB	1379	1008	1281	929
flk	289	199	285	195
yfcJ	153	92	145	87
fabB	7074	4692	6940	4588
trmC	369	260	369	260
yfcA	380	290	341	263
mepA	537	354	529	347
aroC	1742	1084	1439	885
prmB	1284	842	1085	711
yfcY	85	51	78	48
fadL	1106	682	1046	650
vacJ	1243	984	1264	996
yfdC	23	31	21	30
dsdA	131	90	126	89
emrY	18	14	17	14
emrK	19	14	16	13
evgA	460	361	444	354
yfdE	25	23	25	23
yfdV	11	14	11	14
oxc	45	25	45	25
frc	60	31	60	31
yfdX	18	17	18	16
ddg	34	39	48	44
yfdZ	855	536	724	453
ypdA	140	99	139	96
ypdB	165	124	165	124
ypdC	54	40	46	34
ypdD	56	53	52	49
ypdE	13	3	11	2
ypdF	16	15	16	15
ypdG	17	9	16	9
glk	937	614	873	584
yfeO	70	50	67	49
mntH	451	302	417	281
nupC	2371	1823	2199	1695
yfeA	399	356	399	355
gltX	3307	2523	3266	2483
yfeR	91	66	90	66
yfeH	725	454	578	372
ligA	884	591	917	607
zipA	2879	1965	2868	1962
cysZ	168	150	167	148
cysK	20013	15004	19553	14683
ptsI	32290	22767	32245	22736
pdxK	687	492	644	467
cysM	2579	1704	2261	1491
cysA	2950	1875	2342	1483
cysW	1682	1064	1525	953
cysU	1347	915	1282	867
cysP	3181	2024	3181	2024
ucpA	816	517	790	499
yfeT	53	53	51	50
yfeU	108	54	87	45
murP	51	56	48	55
murQ	87	74	79	68
yfeX	924	687	923	687
amiA	461	302	439	291
hemF	195	127	167	106
yfeG	46	15	37	12
eutL	36	31	25	22
eutC	17	19	17	17
eutB	38	30	33	27
eutA	6	7	6	4
eutH	21	10	18	10
eutG	7	6	7	5
eutJ	5	2	5	2
eutE	10	5	9	5
eutI	9	10	9	10
eutT	11	7	11	7
eutQ	7	9	7	9
maeB	3700	2499	3365	2211
talA	150	106	142	101
tktB	174	116	174	115
ypfG	27	24	25	24
aegA	54	45	53	44
narQ	136	115	126	111
acrD	123	88	120	87
dapE	983	738	897	673
ypfH	178	158	178	158
ypfJ	669	494	655	479
purC	3831	2825	3451	2585
nlpB	4939	3500	4939	3500
dapA	5699	4011	5697	4005
hyfA	4	3	4	3
hyfC	3	6	3	6
hyfD	6	3	6	3
hyfE	6	2	6	2
hyfG	13	13	13	13
hyfI	6	6	6	5
perM	263	196	262	194
yfgC	855	606	847	599
hda	558	414	540	397
uraA	1187	918	1176	911
upp	3026	2098	2933	2026
purM	4147	2809	4119	2778
purN	1075	751	1071	745
ppk	847	600	807	567
ppx	713	474	694	462
yfgF	68	56	67	53
guaA	4792	3023	4729	2986
guaB	3819	2538	3463	2320
xseA	516	294	483	277
der	1867	1396	1845	1379
yfgL	4077	2966	4063	2948
yfgM	1867	1365	1867	1365
hisS	4259	2941	4329	2987
ispG	1636	1213	1658	1250
yfgA	1253	822	1179	784
yfgB	1216	841	1184	822
pbpC	131	80	128	78
sseA	591	336	591	335
sseB	571	349	561	345
pepB	1247	683	1203	663
hscA	2196	1199	2140	1168
iscS	6003	3204	5979	3189
yfhQ	574	341	509	321
suhB	1684	1323	1620	1288
yfhR	22	13	21	13
hcaT	136	77	130	73
