	IAI1_batch1	IAI1_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
gatZ	3	10	42	49
gatY	5	5	33	28
fbaB	405	306	1333	1151
yegT	59	35	128	100
yegU	63	53	112	89
yegV	62	33	89	81
yegW	128	82	194	146
yegX	142	85	107	84
thiD	1423	844	1562	1339
thiM	1568	986	1820	1473
rncA	46	39	55	55
yehA	12	8	28	27
yehC	0	1	0	0
mrp	2349	1812	1677	1658
metG	3024	1825	1887	1912
yehL	23	15	17	9
yehP	24	28	32	29
yehT	262	201	792	635
yehU	490	347	1493	1212
mlrA	38	19	54	48
yehW	17	15	30	17
yehX	26	19	33	25
yehY	18	5	25	15
yehZ	26	17	44	27
bglX	1898	1294	1970	1912
dld	1770	1129	4988	4453
pbpG	453	315	442	427
yohF	33	15	29	21
dusC	392	239	274	202
yohK	35	18	32	24
cdd	69	49	419	369
sanA	160	87	131	87
yeiT	38	37	663	627
yeiA	70	67	775	636
mglC	337	263	3106	2759
mglA	561	465	5750	5066
mglB	1455	1112	23103	20741
galS	100	78	957	735
yeiB	348	188	161	136
folE	2469	1301	795	831
frmC	383	182	734	610
cirA	8202	2689	1685	1431
lysP	5929	3858	1851	1684
yeiE	182	109	283	229
yeiH	200	107	260	206
nfo	304	206	296	265
yeiJ	59	35	90	70
rihB	13	4	56	48
yeiL	19	18	108	53
yeiC	4	1	50	37
fruA	859	604	1120	957
fruK	476	286	557	460
fruB	473	293	491	471
setB	36	21	31	32
yeiQ	229	135	196	156
yeiR	237	208	181	164
yeiU	386	323	142	101
rtn	310	189	362	293
yejB	89	69	137	139
yejE	123	105	169	129
yejF	314	199	388	382
bcr	298	189	242	183
rsuA	449	301	247	231
yejH	63	39	38	35
yejK	1479	1099	1061	1010
yejM	780	509	851	659
narP	241	196	315	335
ccmH	174	179	253	267
ccmF	283	293	304	316
ccmC	93	99	139	127
ccmB	68	57	64	80
ccmA	66	80	136	136
napC	95	121	220	215
napH	43	59	118	104
napG	44	64	126	117
napA	305	404	638	687
mqo	1095	694	121	107
yojI	953	624	647	542
alkB	23	20	28	21
ada	69	44	123	100
yojL	49	38	61	58
rcsB	1923	1343	2412	2207
rcsC	915	671	1017	882
yfaP	13	3	16	13
yfaQ	29	22	58	46
yfaT	1	2	5	2
gyrA	8946	6396	7981	7263
ubiG	443	277	436	362
nrdA	2307	1368	1621	1432
nrdB	1607	1123	1461	1343
inaA	301	187	283	236
glpQ	331	247	2975	2466
glpT	100	59	1513	1187
glpA	20	13	21	22
glpB	14	10	17	12
glpC	23	14	43	29
yfaY	333	223	290	243
ais	146	85	123	126
yfbE	547	374	1274	1032
yfbF	144	76	259	243
yfbG	360	251	703	608
yfbH	123	84	319	299
arnT	146	103	401	332
menE	341	266	248	215
menC	437	291	288	289
menB	780	557	620	596
yfbB	160	142	163	137
menD	252	199	298	279
menF	325	237	344	320
elaC	145	91	169	133
nuoN	2334	1580	2463	2177
nuoM	2164	1484	2465	2203
nuoL	3941	2699	4370	3889
nuoH	2602	1883	2763	2529
nuoG	8739	6362	8924	8387
nuoF	3788	2804	3543	3274
nuoC	4672	3515	5136	4757
nuoB	2457	1674	3539	3243
lrhA	636	565	3165	2805
yfbQ	690	464	1432	1390
yfbS	205	139	435	389
yfbT	1907	1345	1055	858
ackA	2302	1554	3795	3672
pta	3849	2537	5468	5213
yfcF	111	58	108	88
yfcG	13	11	23	18
yfcH	691	437	612	586
hisP	1338	909	1136	1095
hisM	1094	758	935	854
hisQ	2094	1634	2412	2130
hisJ	10536	7580	11742	10525
purF	4608	3337	2386	2213
dedD	569	370	631	511
folC	1061	762	919	845
accD	5631	4128	5500	4695
truA	625	456	525	489
usg	1225	873	895	855
pdxB	1379	1008	949	923
flk	289	199	268	202
yfcJ	153	92	54	57
fabB	7074	4692	9614	8855
trmC	369	260	382	306
yfcA	380	290	307	308
mepA	537	354	420	372
aroC	1742	1084	1105	924
prmB	1284	842	1080	961
yfcY	85	51	785	740
fadL	1106	682	1025	952
vacJ	1243	984	1679	1406
yfdC	23	31	63	38
dsdA	131	90	97	95
emrY	18	14	13	7
emrK	19	14	10	9
evgA	460	361	140	133
yfdE	25	23	41	26
yfdV	11	14	14	24
oxc	45	25	51	64
frc	60	31	43	62
yfdX	18	17	28	37
ddg	34	39	65	42
yfdZ	855	536	726	671
ypdA	140	99	134	88
ypdB	165	124	196	164
ypdC	54	40	61	36
ypdD	56	53	96	84
ypdE	13	3	26	27
ypdF	16	15	50	34
ypdG	17	9	41	33
glk	937	614	934	781
yfeO	70	50	114	102
mntH	451	302	386	353
nupC	2371	1823	2294	1992
yfeA	399	356	563	448
gltX	3307	2523	2282	2095
yfeR	91	66	117	100
yfeH	725	454	423	318
ligA	884	591	937	826
zipA	2879	1965	3316	3096
cysZ	168	150	373	300
cysK	20013	15004	18498	17921
ptsI	32290	22767	25737	23743
pdxK	687	492	521	551
cysM	2579	1704	1241	1277
cysA	2950	1875	1524	1528
cysW	1682	1064	1111	1010
cysU	1347	915	810	792
cysP	3181	2024	2337	2011
ucpA	816	517	6726	6111
yfeT	53	53	128	125
yfeU	108	54	228	186
murP	51	56	212	183
murQ	87	74	370	343
yfeX	924	687	863	779
amiA	461	302	378	286
hemF	195	127	145	119
yfeG	46	15	50	54
eutL	36	31	41	33
eutC	17	19	52	51
eutB	38	30	82	91
eutA	6	7	27	26
eutH	21	10	49	36
eutG	7	6	23	19
eutJ	5	2	5	9
eutE	10	5	13	18
eutI	9	10	137	113
eutT	11	7	85	84
eutQ	7	9	121	115
maeB	3700	2499	16573	16815
talA	150	106	364	286
tktB	174	116	274	234
ypfG	27	24	127	134
aegA	54	45	100	97
narQ	136	115	205	186
acrD	123	88	182	183
dapE	983	738	646	648
ypfH	178	158	234	237
ypfJ	669	494	650	513
purC	3831	2825	3419	3002
nlpB	4939	3500	5250	4800
dapA	5699	4011	6313	5826
hyfA	4	3	4	5
hyfC	3	6	5	10
hyfD	6	3	9	9
hyfE	6	2	7	0
hyfG	13	13	18	20
hyfI	6	6	14	8
perM	263	196	316	243
yfgC	855	606	1624	1472
hda	558	414	423	353
uraA	1187	918	569	545
upp	3026	2098	2092	2088
purM	4147	2809	2769	2497
purN	1075	751	496	457
ppk	847	600	873	739
ppx	713	474	641	596
yfgF	68	56	110	88
guaA	4792	3023	1999	1852
guaB	3819	2538	1297	1122
xseA	516	294	238	200
der	1867	1396	1584	1410
yfgL	4077	2966	4205	3777
yfgM	1867	1365	1800	1712
hisS	4259	2941	3337	2948
ispG	1636	1213	1631	1479
yfgA	1253	822	1278	1061
yfgB	1216	841	1013	928
pbpC	131	80	225	186
sseA	591	336	2617	2156
sseB	571	349	575	480
pepB	1247	683	1532	1337
hscA	2196	1199	1661	1621
iscS	6003	3204	7629	8252
yfhQ	574	341	458	361
suhB	1684	1323	861	707
yfhR	22	13	24	23
hcaT	136	77	290	211
hcaR	506	357	5204	4106
hcaE	21	13	43	37
hcaB	13	7	29	29
yphB	29	24	69	65
yphC	27	19	79	46
yphD	9	2	33	25
yphE	26	22	89	81
yphF	13	10	96	77
yphH	126	93	179	154
glyA	22427	15714	15946	14578
hmp	386	296	956	826
yfhA	424	326	382	289
yfhG	317	238	227	191
yfhK	395	241	463	359
yfhD	241	194	195	174
yfhB	212	187	258	217
yfhH	143	123	272	215
pdxJ	1201	850	1156	1048
recO	474	341	336	347
era	1511	1018	823	734
rnc	1018	691	736	615
lepB	1660	1136	1370	1240
lepA	4341	3036	3516	3203
rseB	873	647	1647	1263
rseA	2194	1616	7221	5981
yfiC	192	135	208	186
srmB	506	280	308	272
yfiE	93	70	102	102
ung	340	274	366	313
yfiF	970	675	681	627
yfiP	70	62	70	45
yfiQ	405	335	3757	3177
pssA	2042	1401	3991	3473
kgtP	795	563	4412	3788
clpB	3454	2614	5380	4973
yfiH	328	257	167	144
rluD	671	483	517	462
yfiO	2593	1901	3567	3258
pheA	1982	1349	832	786
tyrA	4932	3013	1355	1375
aroF	5935	4057	2003	1882
yfiN	87	54	103	75
trmD	24226	17483	16378	15623
ffh	1920	1287	1535	1394
ypjD	361	225	335	271
yfjD	495	366	571	468
yfjB	226	168	314	278
recN	255	167	308	271
gabT	82	57	901	707
gabP	28	18	228	196
csiR	166	109	327	223
nrdF	164	68	106	71
proV	793	461	278	224
proW	295	161	69	83
proX	412	201	227	191
ygaZ	780	478	596	489
emrA	405	304	140	119
emrB	321	261	123	125
gshA	2460	1838	2186	2088
alaS	14322	9894	11499	10943
recA	3395	2377	3626	3201
mltB	184	103	106	91
srlE	15	4	31	34
srlD	82	57	92	93
srlR	201	116	383	333
gutQ	205	153	387	307
norV	13	3	22	17
norW	22	11	17	17
ascG	338	238	413	356
ascF	16	13	35	38
hycG	37	17	52	37
hycE	17	4	16	17
hycD	6	7	6	4
hycC	7	12	10	9
hycB	5	1	2	1
hypB	54	36	126	103
hypD	65	60	97	75
hypE	79	65	86	90
fhlA	74	52	80	78
mutS	692	471	570	520
ygbI	233	166	698	596
ygbJ	16	14	62	35
ygbK	39	27	73	52
ygbL	21	12	31	30
ygbM	31	25	46	34
ygbN	30	20	64	35
nlpD	11162	8193	40414	35632
pcm	670	415	630	530
surE	720	461	351	331
truD	1282	847	1158	1044
ispD	624	423	434	400
cysC	2209	1373	1008	866
cysN	8430	5542	3531	3352
cysD	4831	3141	1963	1835
iap	199	152	220	195
cysH	4612	3377	1974	1994
cysI	9685	6504	4065	4228
cysJ	6920	4520	2465	2424
ygcQ	37	24	38	30
ygcR	8	11	21	22
ygcS	9	6	10	9
ygcU	31	21	93	104
ygcW	13	9	71	59
yqcE	26	28	61	58
ygcF	498	411	469	426
eno	33637	26255	13705	12519
pyrG	6889	5208	3439	3282
mazG	609	520	762	629
relA	2610	1868	2884	2598
barA	532	443	592	514
gudD	112	77	169	137
gudX	48	45	78	70
gudP	11	16	39	42
truC	202	116	175	117
queF	693	493	663	523
ygdH	736	439	1444	1233
sdaC	412	283	115	98
sdaB	210	175	104	90
exo	148	112	271	229
fucO	96	69	4489	3807
fucA	19	13	910	779
fucP	10	13	144	100
fucI	74	35	404	393
fucK	92	63	277	269
fucR	354	241	2031	1791
ygdE	540	422	549	490
gcvA	274	182	273	231
csdA	309	202	205	170
ygdL	356	219	285	274
mltA	1331	959	1988	1677
amiC	856	709	510	413
argA	7972	5541	2597	2543
recD	700	490	537	481
ptr	961	719	1216	1061
recC	732	485	728	600
thyA	1011	665	620	583
lgt	599	350	453	376
ptsP	1445	962	1400	1163
mutH	150	108	257	201
ygdQ	111	68	124	91
tas	582	359	457	477
ygeD	283	185	345	333
aas	872	543	1046	919
galR	257	175	280	241
lysA	1853	1221	922	855
lysR	92	49	86	64
ygeA	205	125	282	199
araE	349	284	357	316
kduD	60	50	117	89
kduI	45	37	94	70
yqeF	1173	817	6231	5455
yqeG	70	58	102	77
yqeH	14	15	47	22
yqeI	33	30	40	21
ygeH	5	6	10	6
ygeR	460	290	582	558
xdhA	61	36	355	347
xdhB	17	14	122	110
ygeV	148	118	2738	2254
ygeW	12	4	49	37
ygeX	17	16	58	31
ygeY	9	9	43	40
hyuA	14	10	24	21
yqeA	32	31	97	65
yqeB	36	23	332	297
yqeC	5	3	217	175
ssnA	13	4	30	13
ygfM	13	8	12	28
xdhD	61	55	122	118
ygfO	27	20	36	44
guaD	127	121	199	165
ygfT	56	36	144	162
ygfU	3	8	101	72
lysS	5423	3784	3734	3239
prfB	4244	2911	2842	2577
recJ	1209	879	703	602
dsbC	783	571	646	588
xerD	653	450	550	476
ygfZ	909	570	1064	914
yqfA	116	90	192	170
