"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IAI1_chemostat1","IAI1_chemostat2","IAI1_starvation1","IAI1_starvation2"
"1790","yecP",182.583651957671,-0.295864689096922,0.205748209135271,-1.43799399440897,0.150435758149502,0.198423924575963,201.21167823867,201.553785709961,163.789524619545,163.779619262509
"1791","gpmA",4626.66944763733,-0.13567260009303,0.0947590567622369,-1.43176393612117,0.152211391588073,0.200653878023138,4586.90334763243,5105.09934739417,4659.20284083035,4155.47225469238
"1792","ynfF",57.8685133968848,0.488496723243378,0.341455514770768,1.43063064473076,0.1525360998989,0.200857630709036,51.2065648212184,44.6347483925173,67.6816217436134,67.9511186301899
"1793","tdcG",67.3219371705481,0.464085186015442,0.324364913987513,1.43075026306115,0.152501802238071,0.200857630709036,62.0503079598293,50.911509885215,86.6324758318252,69.693455005323
"1794","tldD",624.700236413928,0.184502557136614,0.129388129696615,1.42596200725081,0.153879309081867,0.202513405096035,568.694084602708,601.87168535535,695.767071524346,632.468104173306
"1795","tdcE",323.414055067873,0.230247686186014,0.162290570333296,1.41873730379501,0.155975617266029,0.205043670581901,295.190785439965,300.587133705859,366.834389850385,331.043911275284
"1796","yhhX",463.345192800838,0.20677264120778,0.145733815166511,1.41883776919947,0.155946318569004,0.205043670581901,427.122993626398,431.701707108878,456.174130551955,538.38193991612
"1797","yicG",9.94620786233884,1.06691486934597,0.754540557053937,1.41399273951778,0.157364034272371,0.206753747867038,8.43402244114185,3.48708971816541,12.1826919138504,15.6810273761977
"1798","yadS",108.392917751355,-0.392891002477531,0.2781642578936,-1.41244243761833,0.157819728365359,0.207237140528705,115.06416330415,130.417155459386,73.0961514831025,114.994200758783
"1799","pheP",222.052983228553,-0.266919447276954,0.189308270754991,-1.40997245504614,0.158547816456295,0.208077484521019,242.176930095645,243.398862327946,205.752130100585,196.884010390037
"1800","ccmH",185.383346626884,-0.2983179532193,0.211636537811292,-1.40957679758161,0.158664682137762,0.208115174737365,184.946063530753,224.568577849853,166.496789489289,165.521955637642
"1801","cadB",11.0251646101181,0.999492052484536,0.715848468680512,1.39623411408122,0.162644006919002,0.213216268926021,9.03645261550913,4.88192560543158,16.2435892184672,13.9386910010646
"1802","yhhN",122.460630243669,0.342483620352125,0.24564874417058,1.39420057492458,0.163257044396683,0.213901155283335,99.4009787706004,116.468796586725,138.070508356971,135.90223726038
"1803","kdsB",562.270990210103,-0.18482694767844,0.132827206654182,-1.39148411183291,0.164078674270756,0.214858430367861,587.97185018246,609.543282735314,542.80660638378,508.762221538858
"1804","yhgA",40.4593449338823,0.558207474243286,0.402276639218507,1.38762090517536,0.165252512266127,0.216275599479116,30.723938892731,34.1734792380211,44.6698703507849,52.2700912539922
"1805","cutC",390.207893483442,-0.216918236267784,0.156563638974561,-1.38549562138773,0.165900970457411,0.21699971609929,419.291401359623,418.45076617985,327.579049239089,395.510357155208
"1806","ECIAI1_3132",9.97360298803384,-1.06079371617649,0.765802374903114,-1.38520557122939,0.165989617651553,0.21699971609929,13.25346383608,14.6457768162947,6.76816217436135,5.22700912539922
"1807","sapB",85.7603670385036,0.405049891463308,0.294718664856123,1.37436117818004,0.16932958213151,0.221243576874651,75.3037717959094,72.5314661378406,115.058756964143,80.1474732561214
"1808","ruvB",449.247345713055,0.197135750357089,0.143696407879849,1.37189059396615,0.170097498973437,0.222124001701485,429.532714323867,407.989497025353,499.490368467867,459.976803035132
"1809","yiiX",67.7922222459191,-0.448132886513066,0.327321834689939,-1.36908949852847,0.170971300530482,0.22314164762436,76.5086321446439,80.9004814614376,64.9743568738689,48.7854185037261
"1810","mdtF",70.2665986561483,0.429598970823378,0.314024103025911,1.36804457582649,0.1712981236193,0.223444679483518,58.4357269136257,60.6753610960782,73.0961514831025,88.8591551317868
"1811","bglG",21.4244130763177,0.738561443112463,0.540633328858799,1.36610416651793,0.171906270740961,0.224114138718614,18.0729052310183,13.2509409290286,23.0117513928286,31.3620547523953
"1812","dmsA",67.4875350400004,0.461645448736268,0.338675521985182,1.36309068346683,0.172853932605829,0.225225240001303,44.5798329031783,69.0443764196752,86.6324758318252,69.693455005323
"1813","mrp",1365.3147022884,0.147911542218503,0.109112072758617,1.35559281827337,0.175228758137863,0.228193655798949,1212.69194100132,1377.40043867534,1390.18051061382,1480.98591886311
"1814","yhbW",47.1395926895123,0.51059705593604,0.377376865688018,1.35301631435499,0.176050418510326,0.22913728671603,37.350670810771,39.7528227870857,48.7307676554017,62.7241095047907
"1815","ygjQ",13.403868201182,-0.926729544973149,0.685502558365159,-1.35189801068473,0.17640794402824,0.229476118925991,18.0729052310183,18.1328665344602,12.1826919138504,5.22700912539922
"1816","agaC",14.409506670064,0.853101201960182,0.632986986140024,1.3477389277186,0.177742366908637,0.231084652131769,10.843743138611,9.06643326723008,20.304486523084,17.4233637513307
"1817","cheR",8.03702540662176,1.08225364339258,0.803363178432836,1.34715365658629,0.177930750095747,0.231202257003884,6.02430174367275,3.48708971816541,12.1826919138504,10.4540182507984
"1818","flgI",4.83759017931221,-1.32427993535108,0.987157110241126,-1.34150878478463,0.179755319453655,0.233444614537997,7.2291620924073,7.67159737996391,2.70726486974454,1.74233637513307
"1819","ygcR",10.1917019004807,-1.02554458437342,0.765633956825448,-1.33947113399417,0.180417345545998,0.234175565054481,12.6510336617128,15.3431947599278,4.06089730461681,8.71168187566537
"1820","citG",2.68657135796744,-1.51640055518808,1.13700626235958,-1.33367827899308,0.182309316343363,0.236501261476198,4.8194413949382,4.1845076617985,0,1.74233637513307
"1821","dinF",89.0974819224589,0.376626825287338,0.282546694084032,1.33297197657292,0.182541000307226,0.236671774698166,71.0867605753384,83.6901532359699,98.8151677456756,102.797846132851
"1822","setA",359.055625853083,-0.212659392751788,0.15995066506202,-1.32953115680595,0.183672793655672,0.238008488375984,397.001484908034,375.210853674599,357.358962806279,306.651202023421
"1823","sfmH",9.23690508178271,1.00575015642289,0.758293044612639,1.326334408008,0.184728954541626,0.239114617145164,6.02430174367275,5.57934354906466,14.889956783595,10.4540182507984
"1824","surE",321.214566730243,-0.225062943090273,0.169680505901863,-1.32639245677663,0.184709736064518,0.239114617145164,343.385199389347,350.801225647441,327.579049239089,263.092792645094
