	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2
lysR	91	68	72	58
ygeA	284	202	132	93
araE	380	333	244	235
kduD	118	90	113	83
kduI	99	78	81	50
yqeF	6353	5556	2903	2083
yqeG	106	79	81	69
yqeH	47	22	23	11
yqeI	42	21	11	10
ygeH	10	6	19	12
ygeR	657	611	392	310
xdhA	355	347	213	155
xdhB	122	111	72	39
ygeV	2790	2293	4886	4008
ygeW	49	40	37	24
ygeX	58	31	12	12
ygeY	47	41	32	14
hyuA	24	22	25	17
yqeA	99	65	122	111
yqeB	336	297	879	623
yqeC	217	177	610	373
ssnA	33	16	72	61
ygfM	12	28	46	27
xdhD	122	118	299	200
ygfO	36	46	36	35
guaD	201	167	75	51
ygfT	147	170	123	95
ygfU	111	75	53	32
lysS	3967	3484	582	474
prfB	2960	2705	537	478
recJ	739	633	160	132
dsbC	651	591	178	152
xerD	589	519	236	194
ygfZ	1066	919	617	499
yqfA	204	179	852	616
bglA	926	885	399	314
ygfF	19	24	12	6
gcvP	1126	986	228	173
gcvT	907	787	160	127
visC	469	406	196	159
serA	5919	5939	1456	1200
rpiA	1560	1498	594	440
argP	514	448	507	371
yliK	58	39	32	19
argK	10	16	12	5
ygfG	19	16	5	3
ygfH	48	49	24	19
ygfI	118	76	78	86
yggE	548	507	388	253
argO	140	122	64	52
mscS	771	688	224	172
fbaA	10477	10134	2404	1957
pgk	8986	8268	2284	1941
epd	1618	1544	691	564
yggF	17	13	13	14
cmtA	40	31	14	5
tktA	9907	8983	2293	1883
yggG	2400	2113	1453	1233
speB	471	377	115	82
speA	6825	6755	643	505
metK	4886	4353	2074	1361
galP	65	63	25	15
endA	19	22	11	8
yggJ	309	293	95	95
gshB	794	748	330	264
yggS	381	356	132	111
yggW	359	327	40	35
yggM	101	90	66	46
ansB	143	151	113	88
yggN	534	540	232	172
yggH	743	621	139	114
mutY	174	164	50	40
mltC	343	278	45	51
nupG	3086	2437	3627	3276
yqgA	40	34	39	35
yghK	492	401	425	349
glcF	1500	1322	926	752
glcD	1253	1135	1765	1480
glcC	2282	1797	2650	1999
ECIAI1_3132	22	21	5	3
yghR	18	8	4	4
yghS	16	17	17	11
yghT	9	9	11	9
pitB	45	27	26	17
gss	642	577	490	428
yghU	1587	1348	518	392
hybC	611	628	301	255
hybB	147	156	129	73
hybA	129	146	118	92
hybO	192	188	260	161
yghZ	1932	1691	1027	869
yghA	21	18	33	31
exbB	2103	1708	975	678
metC	1378	1250	261	166
yghB	286	246	306	277
yqhC	137	108	145	93
yqhD	462	424	570	557
dkgA	212	170	680	542
yqhG	69	39	45	32
ygiQ	341	309	43	28
sufI	628	496	217	176
plsC	370	263	111	95
parC	1330	1241	320	246
qseB	145	128	73	59
parE	1529	1477	264	214
cpdA	1837	1479	1961	1665
nudF	451	382	220	189
tolC	2151	2089	1111	952
ygiC	2848	2715	1310	937
ygiE	613	526	1013	720
ribB	592	554	1990	1529
yqiJ	43	42	56	45
yqiK	113	75	53	38
rfaE	1489	1356	277	258
htrG	815	753	135	84
cca	630	522	240	193
bacA	492	417	244	194
plsY	205	155	61	57
ygiP	33	30	30	30
ttdA	7	6	4	1
ttdB	9	5	4	5
ygjE	24	19	16	10
gcp	417	360	195	148
dnaG	1768	1577	530	505
