"","Gene","K12","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_chemostat1","K12_chemostat2"
"55","allD","allD",2264,4.51878400830549,-0.201013793208352,1.05139396764705,-0.191187889025279,0.848378391760217,0.884053436599971,4.30743256653885,3.96252606410202,4.30920912195555,5.49596828062553
"56","allR","allR",9,4530.23122056439,4.90205754484399,0.135620676120582,36.1453554507094,4.40117918569699e-286,1.15457600638118e-283,8218.58133695613,9319.86130276795,287.639708890533,294.84253364297
"57","alr","alr",1151,63.2239461941161,-1.59882391163722,0.432761571740202,-3.69446830782156,0.000220347372836088,0.000451989702229369,17.2297302661554,43.5877867051222,92.8275465021257,99.2507213030611
"58","alx","alx",1630,12.5400063244653,-1.46004297441903,0.834009564284421,-1.75063097228597,0.0800094966297397,0.115915983820542,4.30743256653885,7.92505212820404,17.2368364878222,20.6907041152961
"59","amiA","amiA",1681,169.25484312908,0.361384644293033,0.230617677485572,1.5670292417876,0.117107856727268,0.164480457901892,206.756763193865,174.351146820489,142.024350644452,153.887111857515
"60","amiB","amiB",2050,151.561179092024,-0.17112838418742,0.249732449647541,-0.685246888936306,0.493188140130168,0.568008389681623,142.145274695782,142.650938307673,151.720071168851,169.728432195789
"61","amiC","amiC",669,166.694158551453,-2.10366367080426,0.312072858209376,-6.74093762230634,1.57367762374272e-11,5.56197461179321e-11,73.2263536311605,51.5128388333262,279.200841026703,262.836600714621
"62","amn","amn",1405,130.205574011031,-0.734300612110921,0.2899536066403,-2.53247621445127,0.0113260053677855,0.0190325257461506,111.99324673001,83.2130473461424,149.745016987955,175.870984980017
"63","ampE","ampE",1052,136.646244255759,1.11177873067992,0.259521247185415,4.28396034134965,1.83595652242949e-05,4.12043094054756e-05,228.293926026559,146.613464371775,84.3886786382961,87.2889079864055
"64","ampG","ampG",1039,39.3565728667061,-3.26801890975405,0.750654734624653,-4.3535579794726,1.3394564872066e-05,3.04375049691509e-05,8.61486513307771,3.96252606410202,69.8450978516961,75.0038024179485
"65","ampH","ampH",1353,76.9280910685135,-0.982520945097765,0.357214952170485,-2.75050341293901,0.00595037717098583,0.0103834741320751,38.7668930988497,63.4004170256323,104.677871587503,100.867182562069
"66","amtB","amtB",2140,38.6415528627801,0.192090208103276,0.420360726204772,0.456965163795302,0.647696084871351,0.714584325411803,43.0743256653885,39.6252606410202,38.2442309573555,33.6223941873562
"67","amyA","amyA",2263,647.359194857243,0.02946970759509,0.152194925445803,0.193631341575736,0.846464555584724,0.883120996789896,646.114884980828,661.741852705037,642.431259931539,639.148781811569
"68","anmK","anmK",1583,165.349919373258,0.429148634955902,0.226928947411572,1.89111455303925,0.058609054247566,0.0874137568404948,193.834465494248,186.238725012795,144.897156725755,136.429330260234
"69","ansA","ansA",1254,52.0682949262707,-1.48480345060831,0.459974833893974,-3.22801018924996,0.00124654533911361,0.00234696454995792,25.8445953992331,27.7376824487141,71.281500892348,83.4094009647875
"70","ansB","ansB",1317,38.7564514097598,1.15214095071739,0.394012732497109,2.92412111511102,0.00345430315199161,0.00619256624286423,55.9966233650051,51.5128388333262,24.2393013109999,23.2770421297081
"71","ansP","ansP",1857,39.0932160592755,0.470044662108466,0.411799706598597,1.14144001216262,0.253686861988797,0.322538869766048,47.3817582319274,43.5877867051222,30.1644638536888,35.2388554463637
"72","apaH","apaH",1390,109.802933762054,0.684523724543971,0.265455334270482,2.57867760098007,0.00991793024320975,0.0168421300840391,116.300679296549,154.538516499979,85.2864305387035,83.086108712986
"73","aphA","aphA",1000,119.874718681178,-1.84340760257916,0.405720469294475,-4.54354103894423,5.5317029835552e-06,1.30603507441738e-05,34.4594605323108,67.3629430897343,230.901788784785,146.774682317882
"74","appA","appA",2158,24.9604421570212,0.207440625512814,0.503931779924487,0.411644261736972,0.680600184457953,0.744623278732728,25.8445953992331,27.7376824487141,22.9824486504296,23.2770421297081
"75","aqpZ","aqpZ",321,106.574218194705,3.01729947028915,0.261534843529975,11.5368928650737,8.59749654845197e-31,6.32357923703897e-30,193.834465494248,186.238725012795,22.6233478902666,23.6003343815096
"76","araA","araA",220,134.921213449388,3.52643158280302,0.251188695130244,14.0389740906713,9.00061400259463e-45,9.65929530005724e-44,271.368251691948,225.863985653815,20.4687433292888,21.9838731225021
"77","araC","araC",309,695.5939989092,2.31519600995616,0.197638935085939,11.7142708189024,1.07713977407864e-31,8.2301844873776e-31,1068.24327650164,1252.15823625624,260.886702258392,201.087780620534
"78","araD","araD",817,20.7497647075349,3.03961142171267,0.540097273761963,5.62789625013423,1.82420749767995e-08,5.27166940272014e-08,43.0743256653885,31.7002085128161,4.66830988211851,3.55621476981652
"79","araE","araE",625,104.49141111245,2.02422283909395,0.28281427476785,7.15742810632718,8.22046757360473e-13,3.10536383060492e-12,146.452707262321,190.201251076897,45.4262461606147,35.8854399499667
"80","araF","araF",147,768.526668317321,3.15058145833539,0.193783773799297,16.2582315152891,1.95293970422311e-59,3.1366603004563e-58,1447.29734235705,1319.52117934597,175.061620579444,132.226530986814
"81","araG","araG",74,580.570807429037,3.59581841393207,0.169625702380273,21.1985469387819,9.84906079738463e-100,3.14238277603042e-98,1029.47638340279,1117.43235007677,93.9048487826146,81.4696474539785
"82","araH","araH",57,466.613459788733,3.87384652872625,0.169019048186183,22.9195855159414,2.96386110038852e-116,1.22766246631882e-114,904.560838973159,844.01805165373,60.3289277073776,57.5460208206674
"83","araJ","araJ",1022,55.8131425828835,1.52155024084797,0.34172769643167,4.452522452046,8.48673629070522e-06,1.96058555600343e-05,99.0709490303936,67.3629430897343,28.368960052874,28.4497181585322
