	YJ016_ASW1	YJ016_ASW2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS06810	8218	2320	8186	2307
VV1_RS06855	2272	866	2258	853
VV1_RS06860	166	55	166	55
VV1_RS06875	2657	946	2622	941
VV1_RS06880	6722	1391	6764	1400
VV1_RS06885	4055	756	4026	752
TLDD	12357	7758	12266	7741
VV1_RS06895	298938	116410	289633	114779
VV1_RS06905	402	87	399	88
VV1_RS06930	207	66	206	64
VV1_RS06935	6128	2913	6054	2894
VV1_RS06945	361	222	361	222
VV1_RS06960	542	231	545	229
VV1_RS06965	627	320	615	317
VV1_RS06980	3894	848	3898	849
VV1_RS06985	1036	466	1026	462
VV1_RS06990	1065	518	1067	514
VV1_RS07005	466	329	467	327
VV1_RS07015	104	22	104	27
VV1_RS07025	460	205	462	207
VV1_RS07030	732	306	731	301
VV1_RS07035	1598	815	1580	798
VV1_RS07045	15724	3590	15728	3591
VV1_RS07090	25093	5621	25050	5606
VV1_RS07095	27023	6818	26903	6743
VV1_RS07150	609	162	596	160
VV1_RS07160	924	712	895	662
VV1_RS07170	285	144	284	144
VV1_RS07175	246	84	247	84
VV1_RS07180	2089	764	2064	760
VV1_RS07185	1540	515	1536	511
VV1_RS07205	371	173	369	161
VV1_RS07210	485	279	616	391
VV1_RS07215	44337	16321	43386	16117
VV1_RS07220	13810	3061	13760	3059
VV1_RS07235	18139	6476	18105	6458
VV1_RS07240	343	173	344	178
VV1_RS07250	754	349	739	338
VV1_RS07260	60695	16495	59921	16308
VV1_RS07265	6141	1678	6123	1670
GAPA	657	316	681	308
VV1_RS07290	5002	1093	5003	1092
VV1_RS07295	3156	1266	3101	1233
VV1_RS07300	303	83	321	89
VV1_RS07305	855	344	840	341
VV1_RS07310	5903	1203	5884	1196
VV1_RS07320	230	125	216	129
VV1_RS07340	262	96	263	96
VV1_RS07345	717	501	714	500
VV1_RS07375	1587	944	1409	634
VV1_RS07385	2892	1046	2875	1043
VV1_RS07400	872	257	871	256
VV1_RS07405	447	113	1083	174
VV1_RS07425	3026	1516	3016	1512
VV1_RS07435	19464	11968	19276	11865
VV1_RS07445	13119	4664	13091	4644
RELA	3831	1678	3756	1644
VV1_RS07510	206115	92434	232106	106954
VV1_RS07515	220835	158655	207276	134005
VV1_RS07520	2023	972	1973	962
VV1_RS07600	1169	495	1155	491
VV1_RS07605	899	341	898	341
VV1_RS07610	15789	5330	15523	5242
VV1_RS07620	26292	9651	26296	9651
VV1_RS07630	5457	2091	5408	2072
VV1_RS07640	337	118	357	127
VV1_RS07645	3299	2300	3247	2267
VV1_RS07650	1895	581	1833	559
VV1_RS07680	2352	1403	2343	1400
VV1_RS07690	295	142	243	116
VV1_RS07695	148	92	168	93
VV1_RS07735	3478	1118	3464	1112
VV1_RS07740	10327	4057	9857	3918
VV1_RS07750	751	545	471	306
VV1_RS07755	274	108	255	104
VV1_RS07760	216	77	213	77
VV1_RS07765	91	45	82	44
VV1_RS07785	1073	695	1005	663
VV1_RS07790	343	162	338	158
VV1_RS07800	11355	3558	11357	3557
VV1_RS07810	1226	303	1227	303
VV1_RS07820	12927	4020	12156	3756
VV1_RS07830	132	33	132	33
VV1_RS07835	183	126	177	126
VV1_RS07850	2951	705	2033	446
