	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
sfsA	1647	1403	5147	4692
mrcB	1877	1679	411	327
fhuA	7427	6129	5264	4116
fhuC	609	470	148	111
fhuD	268	176	23	15
hemL	1906	1718	614	510
clcA	651	567	338	239
yadS	191	187	52	64
btuF	227	179	31	20
pfs	1091	1009	1527	1175
dgt	639	572	236	195
degP	5958	5536	1495	1093
cdaR	591	493	782	696
dapD	4065	4168	1006	786
glnD	484	429	265	234
map	1286	1091	1011	812
rpsB	20815	19475	1747	1616
tsf	12513	12785	828	706
pyrH	1701	1753	303	253
dxr	619	514	284	236
ispU	2978	2516	383	295
cdsA	1216	1005	326	249
yaeL	4575	4034	879	613
yaeT	13083	12086	1752	1352
lpxD	4387	4059	1128	764
lpxA	2564	2419	626	501
lpxB	1377	1148	161	103
dnaE	2143	1935	298	239
accA	3429	3271	628	508
ldcC	209	171	177	126
nlpE	320	317	139	89
proS	3524	3307	487	400
yaeB	59	54	20	18
metQ	11363	10305	1705	1087
metI	2168	1948	672	365
metN	2330	2032	789	483
dkgB	337	264	154	129
yafC	294	274	309	219
yafD	852	757	1006	799
mltD	11777	10698	627	472
gloB	390	308	150	139
yafS	281	254	177	169
dnaQ	587	487	377	305
yafT	17	15	6	1
yafV	165	140	100	86
fadE	1180	943	871	656
yafJ	379	308	365	272
yafK	739	624	237	202
dinB	79	64	110	83
pepD	3004	2770	898	732
frsA	368	293	403	312
phoE	106	82	92	79
proB	856	731	301	235
proA	1435	1276	506	390
yagR	15	13	24	16
yagS	6	1	4	4
yagT	7	3	5	10
yagU	252	222	185	138
yagV	305	620	29	9
yagW	921	1960	67	37
yagX	1336	2834	138	45
yagY	545	1316	90	29
insF	44	45	135	105
ykgC	66	39	41	15
ykgD	90	77	47	38
ykgE	1456	1206	635	613
ykgF	2370	2116	1117	887
ykgG	1193	1037	631	480
betA	173	166	54	52
betT	346	292	193	157
yahB	144	123	96	65
yahD	35	25	20	13
yahG	4	8	3	5
yahI	19	17	8	0
yahJ	82	68	31	16
yahK	283	289	337	194
yahN	47	39	330	354
prpR	131	95	98	67
prpB	58	55	113	117
prpC	103	74	95	114
prpD	154	106	140	105
prpE	272	194	199	205
codB	368	404	30	17
codA	479	479	86	67
cynT	17	16	7	14
cynX	18	8	7	8
lacY	32	31	60	72
lacI	737	594	626	417
mhpR	1601	1421	1961	1567
mhpB	15	13	7	4
mhpC	38	33	5	12
mhpD	31	26	5	5
mhpF	39	44	12	11
mhpE	57	51	16	16
mhpT	53	54	25	29
frmA	398	395	34	29
yaiO	55	52	184	116
yaiP	17	12	15	9
tauA	32	39	9	5
tauB	20	21	7	6
tauD	30	25	14	7
hemB	962	882	260	229
yaiV	13	11	34	47
ampH	285	239	55	44
sbmA	212	182	58	56
yaiW	341	313	133	97
ddlA	2134	1798	888	623
phoA	224	182	118	91
yaiC	23	21	21	21
proC	178	170	91	82
aroM	82	79	40	28
rdgC	1013	991	117	77
mak	504	434	359	274
araJ	127	95	62	47
sbcD	284	241	76	37
phoB	189	179	83	64
phoR	154	169	69	64
brnQ	208	179	1081	904
proY	246	217	218	195
malZ	309	313	91	72
queA	100	84	15	11
tgt	2801	2474	393	304
secD	7061	6604	763	562
secF	3694	3517	962	712
tsx	5387	4529	2507	2078
ribD	625	576	383	330
thiL	256	196	48	47
yajO	1319	1105	681	524
dxs	1110	1009	172	115
ispA	657	600	113	68
thiI	393	372	83	62
panE	247	217	147	115
yajR	295	243	104	84
cyoE	4450	4195	4329	3068
cyoC	3149	2924	1945	1455
cyoB	14175	13076	7058	5128
cyoA	10111	9355	5422	3982
ampG	199	163	19	14
tig	16101	15870	619	469
clpP	1534	1412	915	685
clpX	5279	4755	5343	4358
lon	5722	5384	3611	2659
ppiD	7845	7258	2670	1965
queC	477	468	155	123
ybaE	340	300	453	380
cof	163	155	540	465
mdlA	255	207	80	54
mdlB	173	157	38	29
amtB	92	75	68	47
tesB	167	163	122	90
ylaB	222	205	129	105
acrB	6312	5874	1825	1298
acrA	3166	3001	710	513
acrR	403	334	190	154
kefA	1403	1367	357	259
dnaX	969	819	132	89
recR	599	537	49	32
htpG	4626	4260	8350	6896
adk	3774	3686	327	266
hemH	207	193	82	67
aes	279	227	260	215
gsk	514	413	53	40
ybaL	599	489	214	205
fsr	159	114	59	63
ushA	1683	1453	517	398
ybaP	91	70	72	44
copA	537	476	497	365
ybaS	23	32	18	14
ybaT	47	41	28	18
ybbK	651	532	835	634
ybbL	211	178	134	111
ybbM	223	209	106	76
ybbN	735	728	577	457
ybbO	134	129	72	56
tesA	246	221	208	185
ybbA	177	136	143	123
ybbP	393	314	204	151
ybbB	68	61	26	16
ybbS	13	16	14	18
allR	894	693	1322	1185
gcl	34	41	14	18
hyi	14	12	13	12
glxR	16	17	10	4
ybbW	23	21	67	42
allB	120	127	412	242
ybbY	13	16	15	16
glxK	92	89	107	73
ylbA	228	210	165	150
allC	181	129	95	61
allD	72	65	25	22
ylbE	49	28	20	23
ylbF	14	18	13	12
ybcF	38	21	7	5
purK	886	717	16	15
lpxH	281	242	33	13
cysS	956	920	153	117
folD	551	512	301	281
sfmC	17	14	65	43
sfmH	10	8	10	6
fimZ	6	7	13	10
envY	36	38	32	22
ybcH	27	33	47	40
nfrB	69	63	65	44
cusR	82	80	13	9
cusC	7	7	21	22
cusB	13	15	12	2
cusA	63	63	35	20
pheP	402	349	139	109
ybdG	498	468	295	239
nfnB	730	735	264	191
ybdK	22	17	68	66
fepA	2257	2096	338	234
fepC	178	133	45	24
fepG	118	83	64	34
fepD	78	64	84	50
ybdA	140	112	77	46
fepB	197	190	85	63
entC	280	205	69	57
entE	421	364	98	76
entB	533	515	100	68
entA	353	344	91	62
cstA	55920	48127	31354	23479
ybdH	1630	1336	1024	628
ybdL	178	148	257	120
