	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_batch1	K12_batch2
yncG	44	73	50	76
nhoA	176	249	178	255
narV	30	36	31	37
narW	31	21	31	21
narY	33	60	41	65
narZ	73	131	73	131
narU	22	21	22	21
yddG	114	203	160	266
fdnG	124	176	124	173
fdnH	31	47	31	47
fdnI	39	62	40	63
adhP	341	509	382	560
sfcA	3218	4420	3401	4678
ddpD	20	38	24	40
ddpC	24	24	25	26
ddpB	7	15	7	15
ddpA	32	40	32	40
dos	173	207	179	217
yddV	250	332	270	346
yddW	255	339	257	348
gadC	259	394	263	399
gadB	376	618	375	618
ydeM	12	20	13	20
ydeN	78	96	78	96
ydeO	21	25	21	27
ydeP	125	201	139	219
ydeQ	16	26	16	28
lsrK	81	161	83	168
lsrR	215	302	229	314
lsrC	6	26	6	28
lsrD	27	18	28	18
lsrB	54	53	57	57
lsrF	76	118	81	125
tam	134	160	136	165
yneE	133	204	139	208
uxaB	84	98	88	104
yneF	94	114	96	116
yneH	411	586	420	602
yneI	507	676	587	774
ydeA	255	332	256	340
marC	201	255	208	266
eamA	826	1114	869	1172
ydeE	148	192	150	194
ydeH	253	401	253	403
dcp	3483	4751	3664	4978
ydfG	2373	3669	2413	3728
ydfH	566	785	568	786
ydfT	159	193	159	193
ydfU	10	22	10	22
rspB	80	105	84	109
rspA	65	76	65	76
ynfC	445	613	445	613
ynfF	183	266	184	267
ynfG	36	32	37	32
ynfH	196	301	196	301
dmsD	343	470	343	470
clcB	31	67	31	67
ynfK	209	315	209	315
dgsA	802	1097	828	1116
ynfL	73	101	77	107
ynfM	141	160	154	169
ydgD	297	474	315	511
ydgG	174	272	179	273
pntB	24858	37387	25474	38427
pntA	40727	58481	42379	61030
ydgH	3528	4692	3530	4700
ydgI	93	128	100	139
folM	234	298	238	309
rstA	892	1072	892	1075
rstB	839	1121	845	1136
tus	196	255	197	260
fumC	1792	2273	1974	2515
fumA	2288	3199	2396	3340
manA	1123	1603	1211	1759
ydgA	4149	5759	4754	6473
uidC	11	19	11	19
uidB	10	10	10	11
uidA	47	62	50	63
hdhA	1234	1880	1289	1955
malI	78	152	80	158
malX	173	258	176	258
malY	364	462	382	505
add	193	310	193	310
ydgJ	1476	2026	1478	2029
rsxD	227	327	230	331
rsxG	160	249	161	252
rsxE	105	147	105	149
nth	118	140	118	140
ydgR	184	294	200	319
gst	704	908	704	908
pdxY	668	1070	669	1075
tyrS	5457	8038	5469	8055
pdxH	1056	1448	1149	1566
anmK	432	629	472	704
ydhJ	66	100	73	114
ydhF	492	713	494	714
nemA	294	396	306	412
rnt	133	179	134	180
ydhO	297	311	297	312
ydhP	270	370	271	370
purR	2432	3383	2504	3496
ydhB	152	216	157	220
ydhC	99	124	101	131
cfa	1521	2058	1610	2166
ribC	2131	2970	2229	3092
mdtK	399	583	404	592
ydhQ	1451	2081	1548	2222
ydhS	200	280	207	288
ydhT	57	55	57	55
ydhU	57	88	58	89
ydhX	47	70	48	70
ydhV	30	46	35	48
ydhY	7	10	7	10
pykF	8904	12040	8919	12056
ynhG	774	1031	786	1046
sufS	412	504	511	630
sufC	284	389	304	423
sufB	901	1141	930	1190
ydiK	410	592	411	596
ydiM	10	14	11	14
ydiN	7	10	9	10
ydiB	83	109	84	110
aroD	405	613	430	641
ydiF	24	21	27	28
ydiO	27	42	27	42
ydiP	101	126	101	126
ydiQ	17	20	17	20
ydiR	26	37	27	38
ydiS	37	40	40	44
ydiD	73	102	78	103
pps	5960	9059	6263	9489
ydiA	239	276	241	276
aroH	644	856	689	899
ydiV	163	218	183	244
btuD	394	541	405	561
btuC	216	350	224	359
pheT	12181	17525	12702	18312
pheS	4865	6537	5056	6757
thrS	27724	36309	25147	32844
ydiY	323	345	330	354
pfkB	105	108	107	112
yniA	408	618	418	640
yniC	160	192	174	217
ydjN	8315	12924	8661	13446
katE	514	644	561	727
chbF	189	264	191	265
chbR	165	204	168	208
chbC	69	90	69	90
nadE	2849	4056	3006	4255
ydjQ	151	205	158	216
astE	22	33	22	33
astB	22	44	22	47
astA	33	41	33	43
astC	51	82	51	82
