	IAI1_chemostat1	IAI1_chemostat2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2
yedE	6468	5953	6199	5720
fliF	7	4	7	4
fliG	7	10	6	10
fliH	9	3	9	3
fliI	6	4	6	4
fliM	14	16	12	12
fliP	4	12	4	12
fliR	45	25	45	22
rcsA	334	245	322	238
yedP	42	44	38	44
yedQ	280	232	247	201
yedI	425	387	415	374
yedA	44	30	41	26
dcm	729	593	703	581
yedJ	192	151	184	148
hchA	232	195	197	173
yedW	371	287	367	283
yedZ	77	63	68	59
yodA	4414	4222	4398	4208
yeeI	4103	3400	4090	3397
shiA	422	363	403	345
amn	414	402	405	395
yeeN	1432	1248	1431	1247
yeeO	152	99	140	93
cbl	1054	991	1015	962
nac	53	54	50	53
erfK	501	385	483	374
cobS	280	241	257	224
yeeA	148	145	133	131
dacD	71	62	62	54
yeeE	2655	2125	2611	2106
yeeF	1691	1694	1510	1506
yeeY	175	130	173	126
yeeZ	692	622	690	620
hisG	1919	1789	1643	1546
hisD	1651	1630	1204	1191
hisC	1585	1448	1366	1277
hisB	2607	2498	2088	2003
hisA	2129	2085	2129	2085
hisF	2123	2086	1818	1765
ugd	752	654	603	525
gnd	4246	4073	2857	2801
galF	4608	4046	2141	1954
wcaL	32	35	15	23
wcaK	16	11	13	11
wzxC	11	9	8	9
wcaJ	6	16	5	13
cpsG	1249	1209	14	10
cpsB	743	742	29	28
fcl	22	26	20	21
gmd	33	20	30	20
wcaE	8	2	8	2
wcaD	17	13	16	10
wcaC	18	17	14	12
wcaA	11	7	11	7
wzc	31	27	28	26
wza	6	3	6	3
yegH	427	370	397	343
asmA	1601	1229	1528	1176
udk	365	313	365	311
yegL	18	12	13	9
mdtA	35	32	33	30
mdtB	105	79	101	76
mdtC	100	84	92	78
baeS	60	62	57	57
baeR	132	111	126	108
yegQ	241	243	241	243
yegS	51	41	43	34
gatD	34	28	32	27
gatZ	42	50	42	49
gatY	34	28	33	28
fbaB	1360	1181	1333	1151
yegT	130	101	128	100
yegU	116	91	112	89
yegV	89	82	89	81
yegW	194	146	194	146
yegX	109	86	107	84
thiD	1606	1374	1562	1339
thiM	1869	1531	1820	1473
rncA	63	61	55	55
yehA	28	28	28	27
yehC	0	0	0	0
mrp	2013	1975	1677	1658
metG	2138	2146	1887	1912
yehL	24	10	17	9
yehP	37	37	32	29
yehT	793	636	792	635
yehU	1551	1260	1493	1212
mlrA	54	51	54	48
yehW	27	14	30	17
yehX	34	26	33	25
yehY	28	18	25	15
yehZ	44	27	44	27
bglX	2015	1940	1970	1912
dld	5144	4611	4988	4453
pbpG	443	427	442	427
yohF	35	27	29	21
dusC	291	217	274	202
yohK	32	24	32	24
cdd	444	393	419	369
sanA	131	87	131	87
yeiT	674	650	663	627
yeiA	790	649	775	636
mglC	3127	2770	3106	2759
mglA	6085	5389	5750	5066
mglB	24056	21562	23103	20741
galS	968	742	957	735
yeiB	164	143	161	136
folE	800	835	795	831
frmC	612	514	734	610
cirA	1873	1567	1685	1431
lysP	1854	1686	1851	1684
yeiE	285	229	283	229
yeiH	260	206	260	206
nfo	308	273	296	265
yeiJ	131	113	90	70
rihB	64	56	56	48
yeiL	112	57	108	53
yeiC	53	37	50	37
fruA	1209	1032	1120	957
fruK	557	463	557	460
fruB	489	468	491	471
setB	50	52	31	32
yeiQ	200	167	196	156
yeiR	182	165	181	164
yeiU	141	100	142	101
rtn	375	300	362	293
yejB	150	149	137	139
yejE	169	130	169	129
yejF	392	384	388	382
bcr	259	195	242	183
rsuA	274	251	247	231
yejH	45	40	38	35
