	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_batch1	K12_batch2
metK	4401	3115	8253	11750
galP	215	126	593	802
endA	42	9	36	47
yggJ	456	253	443	634
gshB	1392	766	1245	1656
yggS	486	308	440	659
yggW	500	267	515	695
yggM	91	46	65	90
ansB	135	72	81	127
yggN	1123	570	920	1278
yggH	2040	1214	2462	3102
mutY	875	499	848	1219
mltC	822	473	777	900
nupG	1201	482	221	310
yqgA	57	23	51	89
yghK	429	252	65	102
glcF	1186	622	157	231
glcD	1012	572	54	62
glcC	1595	638	203	291
ECIAI1_3132	17	11	120	139
yghR	9	4	5	14
yghS	16	10	10	18
yghT	7	4	7	10
pitB	48	25	36	58
gss	1069	666	2006	2912
yghU	1668	846	773	1091
hybC	520	282	391	596
hybB	117	76	67	117
hybA	142	45	53	93
hybO	122	82	71	117
yghZ	3144	1152	251	360
yghA	266	145	99	124
exbB	3527	2046	4012	5685
metC	3022	1504	3015	4178
yghB	430	220	300	439
yqhC	215	114	249	287
yqhD	568	580	536	843
dkgA	473	337	279	360
yqhG	89	47	55	80
ygiQ	735	441	861	1106
sufI	759	454	595	838
plsC	584	314	540	692
parC	2407	1252	2360	3476
qseB	53	27	57	88
parE	1752	955	1727	2748
cpdA	1826	909	986	1425
nudF	1060	582	910	1095
tolC	4044	2473	4052	5235
ygiC	2214	1273	2041	2735
ygiE	698	451	513	752
ribB	2849	1534	2055	2612
yqiJ	36	16	26	31
yqiK	46	37	33	60
rfaE	1740	1028	2119	3156
htrG	627	330	362	481
cca	771	396	481	801
bacA	761	387	848	1234
plsY	416	221	268	363
ygiP	105	52	76	87
ttdA	23	13	12	12
ttdB	6	4	9	5
ygjE	74	38	63	98
gcp	574	322	638	855
dnaG	2282	1358	2434	3273
rpoD	7717	4710	6541	9813
yqjH	302	171	244	382
yqjI	383	197	188	322
aer	9324	4143	2287	3009
ygjG	1606	826	517	805
ebgR	112	68	97	119
ygjI	18	9	14	8
ygjJ	10	7	6	9
ygjK	56	42	46	44
ygjO	183	133	242	348
ygjQ	11	8	22	22
ygjR	992	434	317	433
alx	84	60	65	104
sstT	1765	876	914	1538
uxaA	926	405	239	345
uxaC	1115	464	247	322
exuT	687	279	55	74
exuR	1014	519	936	1219
yqjA	592	335	623	839
yqjG	491	273	304	398
yhaJ	913	513	851	1177
yhaK	80	31	38	60
yhaM	137	77	95	140
yhaO	58	28	50	79
tdcG	99	45	56	84
tdcE	530	272	318	472
tdcD	62	23	33	35
tdcC	182	90	90	141
tdcB	68	28	13	12
tdcA	39	27	6	8
garK	248	117	150	166
garR	207	117	87	143
garL	58	34	21	16
garP	23	7	7	6
garD	386	140	74	109
agaR	1393	729	1075	1437
kbaZ	157	60	28	40
agaS	36	17	21	22
kbaY	26	8	14	17
agaC	10	7	13	10
agaD	24	16	7	19
agaI	17	5	20	25
yraI	11	7	10	16
yraL	504	248	537	789
yraQ	1093	523	759	1153
yraR	200	108	83	148
yhbU	39	17	61	90
yhbV	33	23	28	71
yhbW	196	132	204	327
mtr	322	163	272	413
deaD	1623	1087	2393	3284
nlpI	8761	4635	7190	9228
pnp	16017	8867	13630	19469
truB	1583	811	1656	2491
infB	23919	12503	19838	28430
nusA	8087	4322	6907	9729
argG	8918	4314	15789	23469
yhbX	155	82	118	181
glmM	3838	2030	3474	5330
folP	973	485	836	1265
ftsH	13173	8065	12191	18771
rrmJ	4096	2454	3077	4170
dacB	185	115	254	315
obgE	1787	985	1721	2480
yhbE	1289	684	1246	1639
ispB	1796	1042	1713	2326
murA	3106	1750	3814	5074
yrbC	2312	1356	1824	2855
yrbE	1111	626	1088	1589
yrbF	2306	1242	2145	3002
yrbG	469	248	415	552
kdsD	2029	1107	1748	2269
lptB	2262	1323	1554	2246
rpoN	7529	4205	5556	7343
yhbJ	1736	1014	1503	1901
yrbL	4940	2880	3322	4844
mtgA	1029	569	650	900
elbB	1293	669	722	1205
arcB	2404	1209	1445	1841
yhcC	35	19	22	46
gltB	13185	8943	29527	44479
gltD	7480	4901	16077	24852
nanE	133	59	26	48
nanT	274	122	39	51
nanA	509	200	86	137
nanR	701	452	675	911
dcuD	53	14	36	41
sspA	2973	1783	2752	4417
degQ	1755	1108	1242	1782
degS	538	333	525	722
mdh	32481	18179	18029	25462
aaeB	91	57	76	91
aaeA	185	95	162	204
aaeR	179	99	161	220
tldD	1604	883	1601	2572
rng	2001	1106	1977	2884
mreC	766	462	868	1348
mreB	3238	1943	2843	4132
csrD	1004	539	746	1058
yhdH	1241	642	658	1012
accC	7948	4371	7848	12026
panF	233	122	261	359
prmA	641	350	703	1022
dusB	7596	4270	7192	10040
yhdJ	91	43	60	82
envR	93	60	16	42
acrE	14	13	9	29
acrF	245	139	211	277
aapQ	65	38	30	67
aapP	143	72	125	127
aroE	870	482	1010	1338
smf	1028	584	694	962
fmt	1716	1129	1999	2669
rsmB	975	596	1032	1544
trkA	928	561	1023	1369
rpoA	64514	33859	63750	99111
rpsD	57743	30167	56084	79228
secY	67703	35654	62194	94262
rpsC	44913	21849	43710	65367
rplB	41895	21598	43190	65015
rplD	26961	15293	27394	44924
rplC	40280	22323	43073	66164
tufA	172475	90219	159018	235885
fusA	152172	77938	134798	196610
yheO	1330	850	1315	1806
fkpA	6181	3750	6371	8509
kefB	597	334	487	707
yheS	861	575	885	1163
yheT	257	143	221	347
prkB	630	345	520	636
crp	5687	3445	5196	7214
yhfK	1040	620	943	1463
argD	4099	1944	6085	9503
fic	379	181	185	219
tsgA	96	72	228	310
nirB	129	80	99	184
nirC	81	47	67	134
cysG	698	392	650	939
frlA	37	22	20	23
frlB	38	21	12	24
frlC	49	23	35	50
frlD	83	53	34	69
frlR	196	125	141	210
yhfS	43	38	38	53
yhfT	40	25	29	43
php	42	15	28	30
yhfZ	373	180	207	287
trpS	3480	1940	4400	6398
gph	1256	655	1427	2014
rpe	1239	678	1177	1640
dam	828	532	913	1203
aroB	5064	2915	5148	7190
hofQ	83	39	53	90
yrfD	99	62	66	84
mrcA	1251	787	1347	1906
igaA	1270	630	695	1017
yrfG	651	364	526	839
hslO	1067	590	976	1573
pck	17349	7644	1424	2140
envZ	990	497	508	770
ompR	1533	839	840	1082
yhgF	1882	1145	2486	3912
feoB	1067	623	1106	1915
yhgA	105	61	105	166
bioH	246	153	261	393
gntX	241	152	191	219
gntT	376	203	232	440
malQ	2900	1493	1363	1856
malP	4306	2216	2117	2646
malT	23747	10353	4672	6637
rtcB	156	84	133	195
glpG	902	502	1090	1398
glpD	38309	18670	17703	25954
glgP	5953	3402	4766	7505
