	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2	IAI1_starvation1	IAI1_starvation2	K12_IAI1ref_batch1	K12_IAI1ref_batch2	K12_IAI1ref_chemostat1	K12_IAI1ref_chemostat2	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_batch1	K12_batch2	K12_chemostat1	K12_chemostat2	K12_starvation1	K12_starvation2	IAI1_K12ref_batch1	IAI1_K12ref_batch2	IAI1_K12ref_chemostat1	IAI1_K12ref_chemostat2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
dbpA	155	107	137	95	47	27	191	277	238	128	6	4	200	287	250	137	6	5	149	105	134	92	45	27
ydaO	866	688	546	488	128	108	1272	1901	1131	601	45	51	1397	2058	1208	657	45	55	839	664	525	466	122	103
ompN	77	51	124	100	171	134	1330	1987	1479	861	16	19	1567	2481	1771	1006	23	32	95	78	179	142	198	164
ldhA	607	424	685	615	503	355	811	1241	947	637	110	113	836	1276	971	654	112	116	579	402	662	582	478	337
feaR	155	108	2564	1735	1247	1054	166	218	2227	784	60	77	166	221	2231	786	60	77	154	108	2560	1734	1246	1053
feaB	131	95	406	328	407	367	203	284	527	247	95	85	206	290	537	252	96	87	131	91	396	322	400	362
maoC	37	30	190	144	23	18	19	31	40	15	2	3	20	32	40	15	2	3	36	30	189	144	23	17
paaA	26	14	231	171	14	14	12	23	79	25	1	2	12	23	81	25	2	2	26	14	231	170	14	14
paaC	26	21	159	134	20	10	14	22	45	17	1	3	15	24	46	18	1	3	24	21	151	132	20	10
paaJ	29	19	127	113	23	13	17	34	51	25	1	3	17	36	54	26	1	3	28	15	116	103	21	12
paaF	17	16	52	56	1	2	8	29	20	16	1	0	9	33	24	18	2	0	13	15	47	51	1	1
paaG	27	11	65	52	5	4	17	19	44	25	0	0	19	20	47	25	0	0	26	9	61	49	5	4
paaH	50	38	131	110	17	9	37	54	92	30	2	2	39	56	95	31	2	2	48	37	125	106	17	9
paaE	87	64	907	882	1322	968	147	180	1244	484	114	108	147	185	1261	487	116	109	83	62	893	872	1310	957
paaK	81	58	1352	1145	806	602	117	168	1293	493	63	77	122	170	1338	525	65	81	74	55	1289	1088	766	572
paaX	205	137	558	418	226	169	338	473	750	329	100	89	398	554	873	384	115	101	176	118	473	365	202	146
ydbC	66	47	1310	1147	1458	1164	85	136	509	186	174	168	108	173	602	222	199	199	57	43	1146	1024	1306	1043
azoR	340	261	370	306	181	208	335	467	304	214	9	7	366	514	350	236	9	7	324	244	356	286	170	192
hrpA	1394	931	806	770	227	183	1874	2736	1783	1007	130	147	2234	3219	2071	1177	142	156	1245	845	706	678	202	167
ydcF	144	101	216	209	134	80	476	571	598	420	26	20	482	579	609	425	27	20	139	99	212	206	130	75
aldA	580	374	11735	10493	6358	5000	5903	7352	103247	37143	6317	6504	5976	7454	104345	37604	6400	6611	572	373	11616	10390	6295	4965
trg	68	63	190	145	149	115	1344	1778	13881	5214	172	161	1403	1839	14309	5394	178	165	67	61	183	140	144	109
ydcI	491	332	3027	2597	2213	1769	880	1024	4433	2014	214	274	893	1038	4475	2033	216	275	487	330	3009	2580	2202	1756
ydcJ	56	27	175	135	319	191	75	114	507	213	363	347	75	114	507	213	364	347	56	27	175	135	319	191
mdoD	1437	994	2242	1858	623	430	1584	2219	2476	1179	39	50	1625	2291	2552	1219	42	54	1486	1021	2305	1928	636	448
ydcK	41	28	72	68	90	70	168	218	267	160	197	246	176	230	277	167	206	253	41	27	68	63	85	68
tehA	100	60	145	103	116	95	224	302	351	185	11	29	224	306	352	187	12	29	98	59	145	103	115	95
ydcL	417	283	926	846	429	332	1056	1425	2133	1218	764	814	1092	1470	2204	1259	796	861	415	277	913	832	420	318
ydcO	75	41	110	75	59	50	39	68	111	58	8	3	40	70	113	61	9	3	73	40	106	75	58	50
ydcP	1475	1097	1035	973	201	157	1312	2022	1359	779	24	24	1347	2079	1400	801	24	24	1426	1069	999	935	201	157
ydcR	269	169	240	209	57	80	431	615	557	354	13	18	439	623	567	361	13	18	265	167	237	207	55	79
ydcS	28	20	53	51	354	230	55	96	1152	331	1197	1314	56	96	1170	341	1206	1326	28	20	52	51	349	227
ydcT	9	15	12	9	58	67	25	24	285	96	172	208	25	24	286	97	172	209	9	15	11	9	58	67
ydcU	13	9	18	14	49	26	23	42	127	61	48	58	23	42	127	61	48	58	13	9	18	14	49	26
ydcV	19	12	13	23	37	24	63	103	534	228	28	47	66	105	552	238	29	47	20	12	14	23	36	23
ydcW	97	71	135	122	127	93	273	451	2020	1029	107	121	291	477	2121	1069	111	128	93	70	136	120	126	89
yncB	137	113	966	812	662	443	284	436	805	404	83	76	351	517	973	493	94	97	141	116	985	831	653	444
yncC	62	51	133	102	249	169	111	160	221	122	28	33	111	160	223	122	28	33	62	51	133	102	249	168
yncD	337	211	218	160	67	58	517	660	460	263	10	13	519	665	462	266	10	13	336	211	218	160	66	58
yncE	8137	3875	7371	6550	4186	3140	6047	8269	5903	3116	134	135	6407	8709	6248	3315	134	139	7868	3750	7130	6352	4020	3015
ansP	444	325	190	161	55	61	244	336	164	108	11	11	248	340	168	109	11	11	439	323	188	158	54	60
yncG	7	9	24	13	30	19	44	73	94	49	38	29	50	76	107	52	38	36	7	8	19	12	28	16
nhoA	90	71	125	135	96	61	176	249	236	156	21	16	178	255	248	161	22	16	83	70	121	131	92	59
narV	36	13	42	40	60	47	30	36	54	30	7	4	31	37	58	31	9	4	35	12	40	36	52	40
narW	11	7	20	13	18	20	31	21	45	32	5	2	31	21	45	32	5	2	11	7	20	13	17	20
narY	25	27	57	41	52	30	33	60	119	63	9	9	41	65	127	69	9	9	25	23	54	38	44	29
narZ	55	38	68	63	75	58	73	131	184	111	18	24	73	131	184	112	18	24	55	38	68	63	75	58
narU	9	10	9	13	43	44	22	21	55	33	8	6	22	21	55	33	8	6	9	10	9	13	43	44
yddG	149	115	108	108	25	26	114	203	137	84	3	3	160	266	198	110	3	3	142	114	99	106	22	24
fdnG	112	82	197	188	388	335	124	176	234	144	64	67	124	173	223	142	59	67	118	90	239	219	449	401
fdnH	29	30	62	64	97	85	31	47	78	45	8	12	31	47	78	45	8	12	30	30	63	65	99	85
fdnI	47	39	75	69	56	57	39	62	46	34	16	17	40	63	53	35	16	17	46	36	72	67	55	57
adhP	85	40	91	87	127	88	341	509	1209	589	104	101	382	560	1327	638	119	114	77	37	80	78	110	77
sfcA	1784	1315	1903	1868	615	476	3218	4420	4661	2505	50	57	3401	4678	4925	2638	52	65	1661	1241	1765	1753	584	444
ddpD	24	7	84	73	20	21	20	38	95	33	4	2	24	40	98	34	5	2	23	7	78	67	20	18
ddpC	19	11	50	60	23	16	24	24	93	34	3	4	25	26	101	38	3	4	15	11	50	58	22	15
ddpB	9	4	31	39	12	13	7	15	52	26	1	1	7	15	54	26	1	1	9	4	30	39	12	13
ddpA	16	14	124	99	44	39	32	40	222	82	13	20	32	40	223	82	13	20	16	14	124	98	44	39
dos	286	206	322	234	142	129	173	207	345	210	90	81	179	217	359	222	95	88	269	197	307	222	134	120
yddV	355	230	351	239	501	350	250	332	499	302	435	399	270	346	543	317	465	427	333	217	329	223	462	325
yddW	255	195	377	352	250	206	255	339	298	182	9	8	257	348	303	186	9	8	251	190	364	344	243	201
gadC	76	59	119	103	151	99	259	394	345	151	47	70	263	399	349	154	48	70	71	59	117	99	149	95
gadB	162	115	172	154	102	87	376	618	400	225	90	104	375	618	399	223	89	104	162	115	172	154	102	87
ydeM	21	11	274	240	87	72	12	20	72	29	1	1	13	20	73	29	1	1	21	11	267	235	86	71
ydeN	120	68	2786	2577	449	451	78	96	772	417	18	21	78	96	777	418	18	21	120	67	2784	2571	447	450
ydeO	8	5	6	6	13	5	21	25	14	9	2	3	21	27	14	10	2	3	7	5	6	6	13	5
ydeP	211	168	231	203	319	207	125	201	184	124	4	6	139	219	199	136	5	6	188	151	211	184	289	192
ydeQ	70	70	15	15	26	15	16	26	28	16	1	0	16	28	29	16	2	0	67	67	14	15	26	15
lsrK	79	57	552	462	689	568	81	161	387	156	86	111	83	168	404	161	89	113	75	52	529	435	666	554
lsrR	130	110	1077	936	587	481	215	302	707	283	108	73	229	314	742	293	116	87	123	108	1007	882	553	450
lsrC	17	13	240	161	92	53	6	26	91	33	49	69	6	28	95	34	52	70	17	13	218	146	88	51
lsrD	12	11	175	127	44	34	27	18	100	40	57	31	28	18	100	41	57	31	12	11	174	127	44	34
lsrB	28	30	666	569	96	54	54	53	363	143	60	57	57	57	377	147	64	58	27	30	641	552	95	52
lsrF	70	39	751	693	112	73	76	118	410	168	52	80	81	125	443	177	54	86	63	36	723	668	110	71
tam	35	28	201	163	87	69	134	160	317	160	86	83	136	165	333	166	93	88	33	27	195	156	80	65
yneE	66	49	62	51	29	19	133	204	153	106	24	24	139	208	155	108	25	24	64	48	62	49	29	19
uxaB	164	108	275	239	181	134	84	98	302	162	44	31	88	104	321	173	48	31	157	107	258	218	166	125
yneF	215	177	253	205	187	187	94	114	89	55	6	12	96	116	91	58	6	12	150	122	206	162	142	144
yneH	283	207	227	206	18	15	411	586	394	207	4	4	420	602	403	214	4	4	280	206	223	204	18	15
yneI	147	138	143	110	53	41	507	676	597	385	10	11	587	774	663	433	10	11	131	126	128	97	50	40
ydeA	128	107	64	46	43	31	255	332	125	91	3	12	256	340	126	92	3	12	126	101	63	46	43	31
marC	108	85	95	83	93	60	201	255	272	146	67	59	208	266	277	150	70	62	103	85	95	81	92	57
eamA	422	264	721	574	336	265	826	1114	1172	641	50	33	869	1172	1234	670	50	33	404	245	683	545	326	260
ydeE	66	48	109	83	88	58	148	192	185	143	12	14	150	194	188	147	12	16	65	47	107	80	86	56
ydeH	230	194	656	527	1059	669	253	401	441	209	43	41	253	403	441	211	43	41	230	194	652	525	1053	668
dcp	2048	1488	2441	2236	434	252	3483	4751	4052	2182	39	53	3664	4978	4252	2282	40	54	1972	1434	2338	2154	423	245
ydfG	1567	1097	1971	1654	644	470	2373	3669	3155	1694	107	125	2413	3728	3189	1708	107	126	1539	1078	1934	1625	636	463
ydfH	357	285	419	352	247	215	566	785	533	372	12	6	568	786	536	374	12	6	350	283	413	349	243	214
ydfT	32	33	70	41	55	38	159	193	174	95	9	8	159	193	174	95	9	8	32	33	70	41	55	38
ydfU	6	3	13	12	15	11	10	22	16	11	3	2	10	22	16	11	3	2	6	3	13	12	15	11
rspB	105	77	242	168	120	108	80	105	163	68	12	8	84	109	172	71	12	8	95	71	220	152	117	104
rspA	243	159	738	572	161	141	65	76	241	89	6	3	65	76	241	89	5	3	151	110	456	380	56	54
ynfC	235	166	370	299	359	250	445	613	681	393	58	51	445	613	681	393	58	51	235	166	370	299	359	250
ynfF	50	46	85	64	50	39	183	266	162	117	10	9	184	267	162	119	10	9	50	45	85	64	49	39
ynfG	19	12	19	23	8	10	36	32	26	28	1	4	37	32	25	26	1	4	18	12	19	22	8	8
ynfH	127	81	123	122	71	73	196	301	206	120	6	14	196	301	208	121	6	14	127	81	122	122	70	73
dmsD	185	137	150	127	85	76	343	470	275	150	5	5	343	470	275	150	5	5	185	137	150	127	85	76
clcB	39	30	33	24	16	14	31	67	50	28	4	1	31	67	50	28	4	1	39	30	33	24	16	14
ynfK	132	121	745	632	592	425	209	315	358	180	122	115	209	315	358	180	122	115	132	121	745	632	592	425
dgsA	996	689	4282	3311	668	471	802	1097	3043	1437	34	44	828	1116	3096	1449	36	44	997	680	4211	3255	652	463
ynfL	61	37	55	43	54	43	73	101	115	51	17	16	77	107	120	55	19	17	57	35	55	39	51	41
ynfM	176	96	56	48	53	40	141	160	181	112	6	11	154	169	189	119	6	11	161	89	55	44	47	39
ydgD	175	125	231	198	522	394	297	474	541	325	615	609	315	511	587	351	684	685	150	111	202	175	458	345
ydgG	138	120	90	102	174	109	174	272	166	106	28	28	179	273	173	109	30	29	133	114	87	100	172	108
pntB	26422	18184	13964	13573	2367	1663	24858	37387	15124	8779	478	524	25474	38427	15536	9038	485	541	25656	17677	13597	13212	2308	1607
pntA	35926	23832	18161	17493	2064	1433	40727	58481	23843	13809	425	452	42379	61030	24866	14452	449	474	34653	22980	17514	16783	1984	1385
ydgH	3349	2354	6688	5705	1749	1474	3528	4692	4361	2391	68	81	3530	4700	4370	2395	67	81	3344	2352	6681	5699	1748	1472
ydgI	152	113	178	149	61	49	93	128	138	75	7	9	100	139	158	82	10	12	141	105	155	141	58	46
folM	207	148	355	331	134	111	234	298	297	166	21	14	238	309	305	170	21	15	206	147	350	329	134	107
rstA	661	499	742	762	195	153	892	1072	1113	640	15	12	892	1075	1113	641	15	12	660	499	741	761	195	153
rstB	738	532	882	685	169	126	839	1121	1208	652	14	22	845	1136	1227	655	14	22	728	527	872	680	169	125
tus	117	62	281	240	233	153	196	255	436	219	62	52	197	260	437	221	64	52	117	62	278	236	232	153
fumC	814	421	4777	3900	4745	3693	1792	2273	6108	2823	428	386	1974	2515	6701	3115	455	417	741	382	4422	3585	4403	3434
fumA	3208	2383	26011	24513	20474	17513	2288	3199	14053	5978	1156	1327	2396	3340	14668	6249	1173	1343	3077	2267	24905	23451	19681	16929
manA	657	491	1017	988	344	300	1123	1603	1367	809	54	48	1211	1759	1478	878	55	49	610	456	933	918	331	279
ydgA	2375	1778	2036	1908	1166	885	4149	5759	4873	2829	1836	1959	4754	6473	5509	3174	2038	2189	2212	1663	1896	1770	1039	786
uidC	13	12	46	28	91	54	11	19	62	38	7	6	11	19	62	39	7	6	13	12	46	28	90	54
uidB	7	8	63	43	99	73	10	10	81	31	3	3	10	11	88	32	3	3	7	6	60	41	90	70
uidA	21	18	273	234	393	251	47	62	384	163	24	34	50	63	409	170	25	34	21	17	256	220	376	240
hdhA	675	540	724	700	284	219	1234	1880	1865	1074	133	158	1289	1955	1931	1123	139	166	645	506	679	658	263	209
malI	81	64	137	144	166	118	78	152	175	89	157	361	80	158	179	91	163	369	78	62	132	138	152	112
malX	112	108	306	305	140	91	173	258	366	213	13	18	176	258	367	214	13	18	112	106	303	303	139	91
malY	393	300	601	557	214	189	364	462	467	239	11	12	382	505	502	261	12	12	354	268	547	506	192	167
add	183	114	428	351	515	390	193	310	425	240	27	14	193	310	425	240	27	14	183	114	428	351	515	390
ydgJ	1395	938	1561	1313	948	741	1476	2026	2129	1137	80	75	1478	2029	2131	1139	80	75	1395	937	1561	1311	948	740
rsxD	272	153	183	156	18	15	227	327	299	168	0	1	230	331	306	172	0	1	268	148	180	154	18	14
rsxG	214	105	146	107	9	16	160	249	228	130	3	2	161	252	232	130	3	2	212	105	145	105	9	16
rsxE	135	91	99	65	19	17	105	147	120	70	2	4	105	149	120	70	2	4	133	91	99	64	19	17
nth	151	79	108	84	29	7	118	140	141	69	0	2	118	140	142	69	0	2	151	79	108	84	29	7
ydgR	210	123	216	163	66	51	184	294	266	173	17	17	200	319	284	189	17	18	197	119	211	155	60	49
gst	644	441	1874	1653	1829	1560	704	908	1052	629	178	168	704	908	1056	632	179	169	641	439	1872	1650	1827	1558
pdxY	490	327	557	541	128	91	668	1070	624	336	16	15	669	1075	625	337	16	15	489	326	555	539	128	91
tyrS	6087	4221	4328	4031	1055	796	5457	8038	4895	2689	75	92	5469	8055	4906	2694	74	92	6073	4207	4317	4019	1053	796
pdxH	663	472	718	696	249	226	1056	1448	951	522	6	10	1149	1566	1032	571	8	10	629	442	670	641	238	214
anmK	378	257	848	753	491	362	432	629	738	388	45	47	472	704	807	422	49	51	341	236	777	691	449	334
ydhJ	39	29	29	39	14	8	66	100	81	44	5	1	73	114	89	47	5	2	34	26	26	35	13	8
ydhF	233	161	508	446	459	300	492	713	995	429	206	223	494	714	1000	431	207	223	233	161	506	446	459	300
nemA	222	142	236	250	68	56	294	396	303	208	19	14	306	412	314	213	20	14	219	139	231	238	68	54
rnt	138	77	95	88	20	19	133	179	176	118	6	1	134	180	179	118	6	1	138	77	95	88	20	19
ydhO	282	190	721	623	135	109	297	311	427	223	11	17	297	312	427	224	11	17	281	190	721	623	135	109
ydhP	361	256	91	75	18	15	270	370	139	97	4	8	271	370	139	97	4	8	361	256	91	75	18	15
purR	2158	1563	2180	1977	250	209	2432	3383	2500	1455	21	29	2504	3496	2569	1483	22	30	2082	1505	2087	1906	242	205
ydhB	118	85	125	89	37	44	152	216	212	131	14	26	157	220	216	134	14	26	117	84	122	86	37	43
ydhC	66	51	56	45	16	20	99	124	101	60	8	7	101	131	107	62	8	7	64	49	55	44	16	20
cfa	585	305	416	323	954	856	1521	2058	1982	1297	195	201	1610	2166	2088	1357	212	213	551	296	394	306	899	800
ribC	887	639	985	892	623	468	2131	2970	1832	1112	38	45	2229	3092	1911	1158	42	45	847	610	937	846	598	448
mdtK	152	102	211	150	631	496	399	583	560	352	88	117	404	592	567	354	89	117	150	102	208	149	626	494
ydhQ	587	415	938	760	645	504	1451	2081	1893	1171	247	252	1548	2222	2017	1253	261	273	543	394	869	697	605	465
ydhS	19	17	35	30	122	90	200	280	456	238	271	264	207	288	462	251	276	268	18	16	35	29	120	89
ydhT	17	17	50	40	44	29	57	55	74	39	17	18	57	55	74	39	17	18	17	17	50	39	44	29
ydhU	42	32	98	68	78	59	57	88	99	45	13	9	58	89	99	45	13	9	41	32	98	67	78	59
ydhX	25	16	43	56	26	15	47	70	80	30	0	2	48	70	82	30	0	2	25	16	42	55	25	15
ydhV	26	16	108	69	58	37	30	46	95	36	8	6	35	48	101	40	8	7	24	16	98	66	54	35
ydhY	4	2	11	6	10	13	7	10	15	5	0	0	7	10	15	5	0	0	4	2	11	6	10	13
pykF	5250	3691	1771	1740	483	331	8904	12040	5394	3532	489	487	8919	12056	5406	3539	491	487	5240	3684	1772	1735	483	331
ynhG	252	200	343	281	852	657	774	1031	1046	674	4080	3925	786	1046	1060	688	4124	3953	247	198	339	276	843	649
sufS	805	297	550	380	212	175	412	504	620	294	194	171	511	630	759	366	224	206	669	241	463	314	186	148
sufC	603	219	337	223	185	125	284	389	459	220	143	181	304	423	492	231	149	185	578	211	317	214	179	120
sufB	1221	457	621	462	462	339	901	1141	1395	664	670	634	930	1190	1443	688	687	649	1177	438	599	442	446	332
ydiK	464	299	453	380	278	234	410	592	528	292	86	93	411	596	533	293	86	94	463	298	451	379	277	232
ydiM	5	6	36	18	65	59	10	14	22	15	2	2	11	14	22	15	2	2	5	6	35	18	65	59
ydiN	3	5	52	41	58	45	7	10	11	3	1	1	9	10	11	3	1	1	2	3	52	41	52	42
ydiB	53	34	82	77	46	35	83	109	91	59	2	4	84	110	96	63	2	4	53	34	77	74	45	34
aroD	382	221	421	368	127	129	405	613	432	256	9	9	430	641	455	272	9	10	352	202	386	338	120	124
ydiF	25	9	20	26	24	26	24	21	36	21	0	1	27	28	38	25	0	1	22	8	18	23	23	23
ydiO	27	14	38	21	12	19	27	42	44	23	0	1	27	42	45	23	0	1	27	14	38	21	12	19
ydiP	75	47	138	137	216	195	101	126	117	80	12	11	101	126	117	80	12	11	75	47	138	137	216	195
ydiQ	7	9	21	13	8	10	17	20	21	22	1	2	17	20	21	22	1	2	7	9	21	13	9	10
ydiR	13	17	32	30	16	13	26	37	47	36	11	4	27	38	50	36	11	4	13	17	32	29	16	13
ydiS	18	11	23	19	15	11	37	40	43	21	2	2	40	44	46	22	2	2	17	9	22	16	14	10
ydiD	32	36	142	82	76	56	73	102	130	78	5	6	78	103	135	83	5	6	32	36	137	80	74	56
pps	7622	5474	25294	23474	13037	10050	5960	9059	14266	7191	692	740	6263	9489	14977	7554	724	778	7334	5205	24242	22545	12474	9653
ydiA	179	108	275	223	196	199	239	276	311	194	18	12	241	276	314	195	19	12	180	107	273	221	195	198
aroH	476	300	164	157	35	29	644	856	427	302	9	13	689	899	455	328	9	13	452	283	155	149	32	27
ydiV	253	197	433	312	148	88	163	218	118	78	4	8	183	244	133	88	4	8	225	179	403	282	134	80
btuD	246	164	337	288	53	34	394	541	552	318	14	18	405	561	569	322	14	19	244	162	322	283	52	34
btuC	262	184	317	235	128	103	216	350	325	148	18	12	224	359	336	152	18	12	253	173	299	227	125	99
pheT	15295	10576	9569	8861	3366	2625	12181	17525	12650	6979	1814	2186	12702	18312	13102	7257	1820	2195	14529	10081	9176	8519	3328	2600
pheS	5466	3745	2910	2611	246	172	4865	6537	3892	2114	26	26	5056	6757	4018	2181	27	26	5288	3630	2796	2534	243	168
thrS	19354	14094	24342	21660	12880	10951	27724	36309	32243	17185	1167	1214	25147	32844	28963	15381	1108	1119	17661	12958	22223	19885	11950	10102
ydiY	91	58	48	43	35	32	323	345	170	95	4	5	330	354	175	96	4	6	90	58	45	42	32	30
pfkB	241	90	187	174	194	128	105	108	94	49	61	68	107	112	97	49	61	69	233	89	186	170	191	126
yniA	145	108	1406	1235	8811	6715	408	618	1370	603	1924	2204	418	640	1418	628	1984	2273	144	107	1353	1190	8513	6513
yniC	338	240	324	312	169	200	160	192	163	105	7	8	174	217	171	108	7	8	318	221	307	283	153	190
ydjN	7611	5672	2626	2410	366	290	8315	12924	4100	2556	67	66	8661	13446	4261	2642	68	66	7442	5524	2558	2352	359	282
katE	82	54	180	198	69	38	514	644	1954	1113	38	46	561	727	2188	1240	41	47	67	49	162	172	57	32
chbF	107	77	202	241	252	178	189	264	284	158	7	8	191	265	287	158	7	8	105	76	195	238	243	175
chbR	80	80	249	226	285	205	165	204	211	135	13	20	168	208	212	136	13	20	80	80	245	223	283	203
chbC	36	40	217	187	458	396	69	90	187	92	12	11	69	90	188	93	12	11	36	40	217	187	457	396
nadE	1778	1244	1256	1169	536	376	2849	4056	2581	1443	40	40	3006	4255	2712	1537	40	42	1703	1205	1214	1120	502	359
ydjQ	92	51	63	56	55	34	151	205	289	130	7	4	158	216	301	134	7	4	88	48	60	55	54	33
astE	6	12	69	73	120	107	22	33	101	39	318	384	22	33	101	39	318	384	6	12	69	73	120	107
astB	12	9	102	68	177	130	22	44	158	57	504	647	22	47	161	57	518	664	12	9	98	67	168	126
astA	12	6	85	68	223	167	33	41	225	88	833	942	33	43	230	89	850	964	12	6	85	67	220	160
astC	11	11	144	101	418	328	51	82	470	145	1880	1870	51	82	470	145	1880	1870	11	11	144	101	418	328
xthA	645	427	584	546	190	154	974	1415	1003	518	33	25	977	1422	1007	518	33	25	643	427	583	545	190	154
ydjX	45	29	92	66	84	60	76	107	124	52	8	9	86	112	141	61	9	11	41	29	88	62	80	55
ydjZ	37	26	47	50	17	17	51	93	98	52	10	12	54	98	103	55	11	13	36	25	47	47	17	17
ynjE	343	270	912	871	66	48	260	379	546	271	7	9	290	446	615	315	8	8	306	247	808	753	60	45
ynjF	57	45	62	53	42	33	57	96	110	49	8	8	57	96	110	49	8	8	57	45	62	53	42	33
gdhA	12043	7309	10066	10826	686	579	21606	32742	15576	9742	96	85	23864	36228	17165	10716	108	91	10722	6485	8923	9680	590	516
topB	1081	740	1775	1512	314	211	1366	2082	1722	861	26	33	1488	2269	1873	921	26	33	990	670	1642	1405	299	204
selD	1449	961	2674	2390	1536	1147	2173	3248	2977	1475	150	146	2405	3602	3343	1639	168	167	1137	777	2114	1936	1216	918
sppA	1164	819	1109	943	538	416	1310	1899	1367	817	40	52	1482	2160	1569	931	40	56	1160	832	1083	947	534	406
ansA	391	257	393	347	66	62	415	503	390	251	6	7	425	515	397	258	6	7	383	252	385	343	64	60
pncA	466	292	582	481	258	227	412	546	461	293	29	29	433	583	483	318	29	29	428	273	538	449	245	221
ydjE	35	25	84	68	138	86	40	41	68	38	9	8	41	43	68	39	9	8	35	25	83	65	135	84
ydjF	241	227	525	400	364	293	364	544	733	338	48	49	364	544	733	338	48	49	241	227	525	400	364	293
ydjG	89	66	167	149	68	45	85	131	156	107	4	5	85	131	156	107	4	5	89	66	167	149	68	45
ydjH	43	28	69	88	36	18	39	85	115	55	0	0	39	85	115	55	0	0	43	28	69	88	36	18
ydjI	53	36	75	118	54	30	52	63	149	70	0	2	52	63	149	70	0	2	53	36	75	118	54	30
ydjJ	43	41	109	85	34	18	45	49	114	42	0	1	45	49	115	42	0	1	43	41	106	82	34	16
ydjK	27	24	78	86	25	18	17	34	88	40	1	1	17	34	91	40	1	1	26	22	76	83	24	18
ydjL	32	35	87	78	27	15	46	51	116	58	3	1	48	56	118	58	3	1	31	35	85	77	27	15
gapA	42272	29884	18990	17862	5452	4418	72505	99243	43365	29905	605	639	72681	99485	43454	29979	606	639	42177	29814	18944	17827	5443	4409
yeaD	595	325	297	281	71	59	1084	1313	719	547	11	10	1135	1379	756	568	11	10	571	313	287	266	70	57
yeaE	257	165	330	327	141	129	348	485	507	280	34	29	351	495	521	284	35	30	236	153	320	318	135	127
mipA	4362	3193	2640	2369	247	201	3204	4209	2521	1720	82	90	3217	4223	2537	1727	82	91	4343	3184	2633	2363	247	201
yeaG	284	188	327	286	3311	2441	1069	1471	2946	1579	10811	10821	1109	1539	3066	1631	11374	11387	279	183	316	269	3160	2311
yeaH	45	32	93	56	1074	828	247	292	618	339	3475	3538	251	298	632	347	3527	3576	45	30	92	56	1056	820
yeaI	2	3	10	5	30	25	24	25	28	19	22	21	24	25	28	19	22	21	2	3	10	5	30	25
yeaJ	155	113	165	115	133	101	230	274	250	148	7	10	233	280	260	156	7	11	151	110	161	115	130	100
yeaM	70	37	93	57	62	51	148	176	145	111	16	18	159	190	157	118	16	20	67	34	82	52	56	47
yeaN	50	40	58	37	27	24	69	104	84	57	7	6	71	105	88	58	7	7	48	37	56	35	27	24
yeaP	940	695	815	623	381	310	1332	1579	1200	666	11	15	1337	1574	1201	665	11	15	918	680	798	603	370	301
yeaS	26	25	52	42	85	77	52	69	115	44	9	7	52	72	118	46	9	7	25	24	51	42	84	75
yeaT	70	62	236	182	103	81	199	289	767	300	63	44	204	298	781	307	65	44	69	62	228	179	103	79
yeaU	67	44	90	57	90	108	94	144	160	73	21	18	97	149	167	79	21	19	61	42	85	55	86	104
yeaV	21	15	444	353	359	315	14	21	50	22	3	1	14	24	54	23	3	1	20	13	421	324	341	300
yeaW	56	34	1665	1601	609	477	23	28	53	39	1	2	23	28	53	39	1	2	54	34	1649	1592	605	476
yeaX	55	33	1104	1051	379	258	64	95	151	56	1	4	65	97	153	56	2	4	54	33	1068	1029	372	250
rnd	235	156	420	363	94	49	472	592	594	340	19	21	473	595	596	340	19	21	235	155	417	362	94	48
fadD	429	319	5864	5214	6909	5383	467	656	3506	1285	6990	8018	486	693	3679	1349	7334	8341	399	302	5549	4968	6636	5113
yeaZ	581	395	471	399	36	33	733	963	650	348	6	11	811	1077	722	378	6	13	504	339	411	357	28	29
yoaA	515	332	476	421	114	57	474	636	606	328	6	6	503	683	667	358	6	6	476	309	443	390	103	51
sdaA	151	112	205	151	627	505	265	373	367	224	1052	1073	265	373	370	224	1052	1073	151	111	205	150	627	505
adrB	31	41	69	61	55	44	103	150	161	88	14	15	103	151	163	88	14	15	31	41	69	60	54	44
yoaE	335	233	507	469	142	102	441	678	703	414	21	23	441	679	703	414	21	23	335	233	507	469	142	102
manX	5828	3975	44991	40214	1142	891	7480	10389	35394	17045	235	262	7484	10399	35423	17055	236	262	5824	3973	44968	40200	1142	891
manY	4750	3406	33046	30451	848	646	5049	7622	21810	11038	143	190	5202	7860	22491	11391	148	193	4784	3427	33320	30618	859	648
