	IAI1_batch1	IAI1_batch2	IAI1_starvation1	IAI1_starvation2
ddg	34	39	28	20
yfdZ	855	536	895	730
ypdA	140	99	131	74
ypdB	165	124	240	164
ypdC	54	40	80	44
ypdD	56	53	24	28
ypdE	13	3	11	6
ypdF	16	15	16	12
ypdG	17	9	23	14
glk	937	614	653	522
yfeO	70	50	126	117
mntH	451	302	1309	923
nupC	2371	1823	651	596
yfeA	399	356	187	167
gltX	3307	2523	418	332
yfeR	91	66	97	76
yfeH	725	454	286	317
ligA	884	591	304	246
zipA	2879	1965	2792	2195
cysZ	168	150	500	447
cysK	20013	15004	1806	1373
ptsI	32290	22767	3926	3391
pdxK	687	492	158	129
cysM	2579	1704	69	43
cysA	2950	1875	74	54
cysW	1682	1064	42	33
cysU	1347	915	25	30
cysP	3181	2024	116	64
ucpA	816	517	7663	6724
yfeT	53	53	49	42
yfeU	108	54	397	330
murP	51	56	464	343
murQ	87	74	586	509
yfeX	924	687	502	372
amiA	461	302	119	111
hemF	195	127	47	22
yfeG	46	15	22	26
eutL	36	31	23	19
eutC	17	19	26	15
eutB	38	30	32	22
eutA	6	7	12	14
eutH	21	10	19	13
eutG	7	6	8	11
eutJ	5	2	1	2
eutE	10	5	11	7
eutI	9	10	102	84
eutT	11	7	50	41
eutQ	7	9	75	46
maeB	3700	2499	10374	7812
talA	150	106	512	367
tktB	174	116	481	326
ypfG	27	24	64	60
aegA	54	45	80	45
narQ	136	115	237	194
acrD	123	88	79	62
dapE	983	738	744	496
ypfH	178	158	120	130
ypfJ	669	494	570	385
purC	3831	2825	416	323
nlpB	4939	3500	1500	1208
dapA	5699	4011	1949	1664
hyfA	4	3	1	0
hyfC	3	6	15	6
hyfD	6	3	8	6
hyfE	6	2	8	5
hyfG	13	13	13	8
hyfI	6	6	5	3
perM	263	196	278	213
yfgC	855	606	795	555
hda	558	414	158	106
uraA	1187	918	23	21
upp	3026	2098	50	19
purM	4147	2809	124	98
purN	1075	751	46	37
ppk	847	600	924	787
ppx	713	474	308	249
yfgF	68	56	74	48
guaA	4792	3023	397	340
guaB	3819	2538	123	109
xseA	516	294	66	52
der	1867	1396	374	284
yfgL	4077	2966	650	501
yfgM	1867	1365	343	266
hisS	4259	2941	709	515
ispG	1636	1213	944	687
yfgA	1253	822	997	803
yfgB	1216	841	182	136
pbpC	131	80	39	42
sseA	591	336	1263	1045
sseB	571	349	487	356
pepB	1247	683	695	482
hscA	2196	1199	722	567
iscS	6003	3204	9176	6872
yfhQ	574	341	423	330
suhB	1684	1323	58	43
yfhR	22	13	13	10
hcaT	136	77	239	186
hcaR	506	357	2051	1540
hcaE	21	13	29	20
hcaB	13	7	9	3
yphB	29	24	171	113
yphC	27	19	209	127
yphD	9	2	193	111
yphE	26	22	433	316
yphF	13	10	501	367
yphH	126	93	109	94
glyA	22427	15714	2159	1693
hmp	386	296	1194	1072
yfhA	424	326	47	36
yfhG	317	238	74	41
yfhK	395	241	144	102
yfhD	241	194	44	16
yfhB	212	187	268	174
yfhH	143	123	73	70
pdxJ	1201	850	281	208
recO	474	341	50	45
era	1511	1018	137	95
rnc	1018	691	85	71
lepB	1660	1136	256	229
lepA	4341	3036	379	267
rseB	873	647	675	507
rseA	2194	1616	6885	5368
yfiC	192	135	38	19
srmB	506	280	160	125
yfiE	93	70	246	208
ung	340	274	142	113
yfiF	970	675	124	105
yfiP	70	62	22	19
yfiQ	405	335	4586	3735
