	YJ016_HS1	YJ016_HS2	YJ016_CMCP6ref_ASW1	YJ016_CMCP6ref_ASW2
VV1_RS07970	3978	3139	1603	772
HFLB	33479	30717	36793	11644
FOLP	1203	573	525	246
VV1_RS08070	92	183	131	46
VV1_RS08090	21664	29386	7021	3145
VV1_RS08095	2403	4747	2507	1874
VV1_RS08110	244	526	311	79
VV1_RS08115	177	618	114	29
VV1_RS08120	1519	2260	1599	1487
VV1_RS08145	1576	1158	46177	14300
VV1_RS08150	3156	1065	2618	971
VV1_RS08160	3089	1192	3075	1623
VV1_RS08165	28947	3107	10122	2806
VV1_RS08170	17775	2540	13394	2688
VV1_RS08180	8506	2022	5834	1590
VV1_RS08190	1029	979	572	143
VV1_RS08200	8963	4602	11781	6013
VV1_RS08205	1193	2028	1247	499
VV1_RS08210	3220	1885	5971	2567
VV1_RS08215	1133	643	1350	658
VV1_RS08220	788	496	2009	481
VV1_RS08240	709	1017	60062	35345
VV1_RS08245	220	357	13354	14166
VV1_RS08270	71	47	3379	670
VV1_RS08275	214	281	8318	2031
VV1_RS08285	174	152	7397	1509
VV1_RS08300	568	582	15182	3905
VV1_RS08305	304	389	9321	1810
VV1_RS08310	226	300	5334	1548
VV1_RS08315	375	306	4678	843
VV1_RS08320	1076	1031	23694	6109
VV1_RS08325	45	36	128	44
VV1_RS08330	419	118	953	345
VV1_RS08335	356	203	2072	589
VV1_RS08345	353	32	182	41
VV1_RS08350	3500	47	713	247
VV1_RS08375	9850	199	536	374
VV1_RS08380	7824	402	592	439
VV1_RS08385	1196	135	245	140
VV1_RS08395	1760	785	33814	14950
VV1_RS08400	3748	812	3357	980
VV1_RS08425	1449	6399	744	451
VV1_RS08430	11483	14690	3378	2783
VV1_RS08435	943	1402	864	542
VV1_RS08445	5430	4338	1944	1342
VV1_RS08455	38371	1278	1222	1087
VV1_RS08460	9254	8124	614	241
VV1_RS08470	107	106	74	54
VV1_RS08475	3478	512	156	67
VV1_RS08480	1087	1133	947	339
VV1_RS08505	604	7801	4433	728
VV1_RS08520	125	143	544	79
VV1_RS08575	5032	3137	95725	22607
VV1_RS08580	245	253	5603	2353
VV1_RS08595	1901	1211	1906	793
VV1_RS08605	22213	8111	3834	871
VV1_RS08610	9220	4441	1788	283
VV1_RS08615	3325	1489	837	120
VV1_RS08620	4753	1901	854	366
VV1_RS08630	9145	5564	3081	599
VV1_RS08635	282	403	411	299
VV1_RS08645	3923	3319	5484	2081
VV1_RS08650	1407	1046	3683	1032
VV1_RS08655	1078	1674	540	270
VV1_RS08660	1291	1001	800	386
VV1_RS08665	203	272	1806	390
VV1_RS08670	445	332	7122	3461
VV1_RS08685	35361	33016	1109	1760
VV1_RS08690	2334	2904	677	242
VV1_RS08695	216	283	183	151
VV1_RS08705	135	164	199	47
VV1_RS08760	6257	406	160	57
VV1_RS08770	489	174	271	96
VV1_RS08780	4005	8848	1824	1261
VV1_RS08785	1684	1756	529	172
VV1_RS08810	2965	1314	712	358
VV1_RS08815	375	211	262	107
VV1_RS08820	239	240	197	118
VV1_RS08825	8585	6295	2856	2565
VV1_RS08830	8476	7292	4383	2392
VV1_RS08850	2004	1242	877	189
VV1_RS08870	5839	2509	865	303
VV1_RS08875	1364	1388	314	189
VV1_RS08890	1001	577	1233	238
VV1_RS08895	386	241	728	330
VV1_RS08900	206	193	417	160
VV1_RS08905	692	1885	1787	1195
VV1_RS08910	2836	2807	2860	1101
VV1_RS08920	1420	1313	816	927
VV1_RS08925	3487	2627	4200	2262
VV1_RS08930	1445	1453	1555	852
VV1_RS08935	2320	2124	3636	1785
VV1_RS08940	287	146	3356	696
VV1_RS08970	2220	2157	1369	387
VV1_RS08980	5187	5120	804	210
