	YJ016_HS1	YJ016_HS2	YJ016_ASW1	YJ016_ASW2
VV1_RS08090	21664	29386	7040	3160
VV1_RS08095	2403	4747	2582	1968
VV1_RS08110	244	526	314	82
VV1_RS08115	177	618	115	32
VV1_RS08120	1519	2260	1601	1488
VV1_RS08145	1576	1158	46504	14383
VV1_RS08150	3156	1065	2625	975
VV1_RS08160	3089	1192	2119	1156
VV1_RS08165	28947	3107	12092	3351
VV1_RS08170	17775	2540	13402	2692
VV1_RS08180	8506	2022	6065	1660
VV1_RS08190	1029	979	574	145
VV1_RS08200	8963	4602	11850	6061
VV1_RS08205	1193	2028	1232	495
VV1_RS08210	3220	1885	6254	2711
VV1_RS08215	1133	643	1352	658
VV1_RS08220	788	496	2017	484
VV1_RS08240	709	1017	61204	36033
VV1_RS08245	220	357	13561	14452
VV1_RS08270	71	47	3778	726
VV1_RS08275	214	281	8328	2029
VV1_RS08285	174	152	6175	1129
VV1_RS08300	568	582	15268	3936
VV1_RS08305	304	389	9464	1832
VV1_RS08310	226	300	5445	1591
VV1_RS08315	375	306	4737	990
VV1_RS08320	1076	1031	33005	9467
VV1_RS08325	45	36	141	50
VV1_RS08330	419	118	965	346
VV1_RS08335	356	203	2087	590
VV1_RS08345	353	32	187	41
VV1_RS08350	3500	47	794	264
VV1_RS08375	9850	199	623	439
VV1_RS08380	7824	402	613	481
VV1_RS08385	1196	135	261	165
VV1_RS08395	1760	785	34130	15145
VV1_RS08400	3748	812	3307	957
VV1_RS08425	1449	6399	746	454
VV1_RS08430	11483	14690	3384	2787
VV1_RS08435	943	1402	876	545
VV1_RS08445	5430	4338	1964	1376
VV1_RS08455	38371	1278	1254	1104
VV1_RS08460	9254	8124	561	224
VV1_RS08470	107	106	76	54
VV1_RS08475	3478	512	156	67
VV1_RS08480	1087	1133	947	341
VV1_RS08505	604	7801	4216	698
VV1_RS08520	125	143	547	80
VV1_RS08575	5032	3137	107023	25421
VV1_RS08580	245	253	4164	1622
VV1_RS08595	1901	1211	1612	708
VV1_RS08605	22213	8111	3890	889
VV1_RS08610	9220	4441	1761	282
VV1_RS08615	3325	1489	839	120
VV1_RS08620	4753	1901	854	365
VV1_RS08630	9145	5564	3083	599
VV1_RS08635	282	403	415	301
VV1_RS08645	3923	3319	5514	2107
VV1_RS08650	1407	1046	3695	1033
VV1_RS08655	1078	1674	600	292
VV1_RS08660	1291	1001	792	378
VV1_RS08665	203	272	1838	412
VV1_RS08670	445	332	7522	3588
VV1_RS08685	35361	33016	1148	1837
VV1_RS08690	2334	2904	687	244
VV1_RS08695	216	283	185	153
VV1_RS08705	135	164	181	43
VV1_RS08760	6257	406	171	69
VV1_RS08770	489	174	293	133
VV1_RS08780	4005	8848	1841	1273
VV1_RS08785	1684	1756	531	172
VV1_RS08810	2965	1314	694	353
VV1_RS08815	375	211	266	107
VV1_RS08820	239	240	197	118
VV1_RS08825	8585	6295	2884	2584
VV1_RS08830	8476	7292	4249	2230
VV1_RS08850	2004	1242	877	188
VV1_RS08870	5839	2509	865	303
VV1_RS08875	1364	1388	245	165
VV1_RS08890	1001	577	1235	238
VV1_RS08895	386	241	732	331
VV1_RS08900	206	193	451	172
VV1_RS08905	692	1885	1766	1187
VV1_RS08910	2836	2807	2912	1114
VV1_RS08920	1420	1313	817	927
VV1_RS08925	3487	2627	4221	2271
VV1_RS08930	1445	1453	1557	850
VV1_RS08935	2320	2124	3651	1779
VV1_RS08940	287	146	3034	549
VV1_RS08970	2220	2157	1443	405
VV1_RS08980	5187	5120	805	216
VV1_RS08990	579	695	923	276
VV1_RS08995	2064	2151	1206	755
VV1_RS09015	4708	3137	4452	1532
VV1_RS09025	1400	1117	2564	848
