	IAI1_starvation1	IAI1_starvation2	IAI1_K12ref_starvation1	IAI1_K12ref_starvation2
tktA	2293	1883	2202	1829
yggG	1453	1233	1366	1174
speB	115	82	98	74
speA	643	505	593	459
metK	2074	1361	1997	1311
galP	25	15	24	15
endA	11	8	11	7
yggJ	95	95	95	95
gshB	330	264	329	264
yggS	132	111	125	100
yggW	40	35	39	34
yggM	66	46	66	45
ansB	113	88	113	88
yggN	232	172	229	172
yggH	139	114	139	114
mutY	50	40	47	39
mltC	45	51	42	51
nupG	3627	3276	3627	3275
yqgA	39	35	39	35
yghK	425	349	410	336
glcF	926	752	890	722
glcD	1765	1480	1758	1472
glcC	2650	1999	2642	1991
ECIAI1_3132	5	3	4	1
yghR	4	4	4	3
yghS	17	11	17	11
yghT	11	9	11	9
pitB	26	17	22	17
gss	490	428	480	421
yghU	518	392	504	385
hybC	301	255	284	245
hybB	129	73	116	70
hybA	118	92	113	89
hybO	260	161	254	158
yghZ	1027	869	978	842
yghA	33	31	33	30
exbB	975	678	963	660
metC	261	166	246	150
yghB	306	277	306	277
yqhC	145	93	142	92
yqhD	570	557	570	557
dkgA	680	542	680	542
yqhG	45	32	45	32
ygiQ	43	28	42	26
sufI	217	176	217	175
plsC	111	95	106	93
parC	320	246	323	245
qseB	73	59	73	59
parE	264	214	235	185
cpdA	1961	1665	1925	1630
nudF	220	189	212	179
tolC	1111	952	985	843
ygiC	1310	937	1151	820
ygiE	1013	720	1009	716
ribB	1990	1529	1877	1440
yqiJ	56	45	53	45
yqiK	53	38	44	30
rfaE	277	258	209	202
htrG	135	84	123	87
cca	240	193	231	179
bacA	244	194	218	178
plsY	61	57	61	57
ygiP	30	30	30	30
ttdA	4	1	4	1
ttdB	4	5	4	4
ygjE	16	10	16	10
gcp	195	148	179	135
dnaG	530	505	530	505
rpoD	5108	4094	5060	4054
yqjH	51	69	50	67
yqjI	46	40	46	40
aer	47	30	47	30
ygjG	225	160	223	158
ebgR	43	45	42	44
ygjI	19	16	19	16
ygjJ	5	4	4	4
ygjK	22	18	21	14
ygjO	20	20	20	16
ygjQ	9	3	4	2
ygjR	873	738	794	674
alx	17	20	17	20
sstT	5080	4151	4600	3799
uxaA	423	339	402	324
uxaC	372	318	357	306
exuT	255	194	233	182
exuR	683	573	580	511
yqjA	840	766	838	764
yqjG	100	90	94	79
yhaJ	116	85	110	79
yhaK	101	87	100	86
yhaM	72	38	70	38
yhaO	64	57	69	60
tdcG	64	40	65	39
tdcE	271	190	270	190
tdcD	64	46	64	46
tdcC	278	201	274	198
tdcB	150	98	150	98
tdcA	336	257	320	244
garK	1531	1106	1412	1012
garR	2095	1466	2041	1432
garL	1034	875	997	833
garP	1336	1151	1275	1107
garD	983	711	922	663
agaR	287	231	283	229
kbaZ	48	46	46	43
agaS	18	19	16	18
kbaY	11	17	11	17
agaC	15	10	15	10
agaD	22	23	21	23
agaI	3	6	2	5
yraI	38	45	33	42
yraL	120	79	113	76
yraQ	48	36	48	36
yraR	77	52	75	49
yhbU	15	3	15	2
yhbV	24	20	21	16
yhbW	36	36	34	36
mtr	270	261	211	193
deaD	436	341	400	309
nlpI	1924	1911	1924	1911
pnp	1242	1033	1121	932
truB	205	144	167	114
infB	956	763	940	747
nusA	629	445	626	441
argG	233	185	209	168
yhbX	39	33	39	33
glmM	692	504	692	504
folP	102	91	102	91
ftsH	14581	12435	14252	12126
rrmJ	4422	3998	4420	3998
dacB	68	51	64	51
obgE	900	732	810	652
yhbE	170	131	169	131
ispB	405	252	404	252
murA	192	149	187	145
yrbC	478	377	477	377
yrbE	175	147	175	147
yrbF	331	258	321	253
yrbG	164	118	163	117
kdsD	213	171	207	166
lptB	272	183	272	183
rpoN	1954	1451	1904	1408
yhbJ	244	167	244	165
yrbL	3764	3178	3760	3176
mtgA	475	347	465	338
elbB	734	566	734	565
arcB	1839	1426	1831	1424
yhcC	4	6	4	6
gltB	182	141	155	124
gltD	149	85	130	80
nanE	96	64	99	68
nanT	195	170	159	130
nanA	50	55	50	55
nanR	238	190	217	173
dcuD	34	35	28	29
sspA	1727	1386	1727	1386
degQ	437	328	437	328
degS	142	110	135	107
mdh	9981	7526	9237	6900
aaeB	39	25	39	23
aaeA	41	46	40	46
aaeR	91	67	90	62
tldD	514	363	482	351
rng	201	166	184	152
mreC	26	13	28	13
mreB	213	172	209	169
csrD	346	288	348	294
yhdH	366	327	356	314
accC	903	714	856	670
panF	21	24	18	21
prmA	49	36	49	36
dusB	359	317	359	317
yhdJ	22	13	22	13
envR	3	6	3	6
acrE	8	5	8	5
acrF	196	169	191	157
aapQ	120	86	115	85
aapP	117	83	102	77
aroE	185	113	179	110
smf	842	714	837	710
fmt	855	634	847	628
rsmB	124	88	119	86
trkA	243	165	240	164
rpoA	3632	3080	3632	3080
rpsD	2248	1944	2248	1944
secY	6711	5577	6381	5213
rpsC	1152	942	1152	942
rplB	755	611	755	611
rplD	510	447	510	447
rplC	646	552	646	552
tufA	7086	5480	7086	5480
fusA	3094	2363	3064	2338
yheO	222	180	222	180
fkpA	1874	1501	1868	1496
kefB	290	277	270	270
yheS	94	71	92	68
yheT	30	18	28	17
prkB	336	293	332	290
crp	2296	2074	2510	2249
yhfK	96	106	93	105
argD	97	69	96	67
fic	93	70	93	67
tsgA	34	26	34	26
nirB	44	49	42	49
nirC	12	3	12	3
cysG	353	256	326	237
frlA	4	10	4	10
frlB	11	6	11	6
frlC	9	6	9	6
frlD	14	12	14	12
frlR	102	91	102	91
yhfS	29	31	29	31
yhfT	13	22	12	18
php	12	8	12	8
yhfZ	608	515	509	431
trpS	541	447	492	414
gph	121	73	120	72
rpe	148	114	146	110
dam	137	84	137	83
aroB	600	446	600	444
hofQ	15	14	15	14
yrfD	23	20	22	20
mrcA	82	64	78	64
igaA	595	497	567	474
yrfG	108	83	108	83
hslO	272	186	271	186
pck	23151	19574	19738	16517
envZ	294	224	270	208
ompR	1311	1053	1308	1047
yhgF	69	44	68	43
feoB	1146	894	1135	890
yhgA	33	30	29	25
bioH	63	49	62	47
gntX	97	83	95	82
gntT	77	70	75	69
malQ	74	58	72	54
malP	94	71	92	69
malT	2358	1818	2162	1703
rtcB	66	58	66	55
glpG	60	41	60	41
glpD	151	124	143	120
glgP	4591	3586	4486	3502
glgA	2083	1535	2083	1534
glgC	2755	1988	2749	1979
glgX	2106	1788	2104	1788
glgB	1228	963	1214	957
asd	1288	1005	1288	1004
gntU	27	19	24	14
gntR	76	87	66	82
