	CMCP6_HS1	CMCP6_HS2	CMCP6_ASW1	CMCP6_ASW2
VV1_RS08635	849	361	239	195
VV1_RS08645	1530	1233	5217	8369
VV1_RS08650	1146	848	3442	2132
VV1_RS08655	5134	2199	865	871
VV1_RS08660	1984	906	747	561
VV1_RS08665	154	223	1082	593
VV1_RS08670	370	735	13717	15693
VV1_RS08685	40858	28187	482	527
VV1_RS08690	4408	2291	734	354
VV1_RS08695	956	246	163	158
VV1_RS08705	39	131	111	75
VV1_RS08760	361	10651	153	166
VV1_RS08770	169	428	309	183
VV1_RS08780	13505	4814	1760	2641
VV1_RS08785	1834	2112	452	293
VV1_RS08810	1436	3218	745	585
VV1_RS08815	121	453	210	195
VV1_RS08820	498	282	206	123
VV1_RS08825	16501	10079	3531	5027
VV1_RS08830	7590	8450	2944	3148
VV1_RS08850	1459	1547	555	552
VV1_RS08870	3585	6365	1090	761
VV1_RS08875	4998	1885	328	319
VV1_RS08890	473	536	624	628
VV1_RS08895	1298	1017	710	385
VV1_RS08900	271	373	248	167
VV1_RS08905	3402	1029	1175	1058
VV1_RS08910	2166	3149	1660	1509
VV1_RS08920	1871	1412	1100	623
VV1_RS08925	2822	2206	3122	4134
VV1_RS08930	1104	897	1051	1371
VV1_RS08935	1586	2056	3530	4331
VV1_RS08940	108	231	1071	823
VV1_RS08970	3273	3468	899	588
