	K12_IAI1ref_starvation1	K12_IAI1ref_starvation2	K12_starvation1	K12_starvation2
yodA	18	28	18	28
yeeI	250	225	250	225
shiA	29	30	30	31
amn	26	21	26	23
yeeN	10	16	10	16
yeeO	40	35	41	41
cbl	13	13	13	13
nac	13	18	14	18
erfK	609	638	615	647
cobS	21	20	24	22
yeeA	44	43	47	45
dacD	20	19	20	19
yeeE	50	41	51	41
yeeF	16	23	16	23
yeeY	191	200	199	206
yeeZ	442	462	443	465
hisG	14	19	16	20
hisD	11	17	19	23
hisC	13	19	14	22
hisB	16	31	20	35
hisA	16	18	16	18
hisF	17	15	17	17
ugd	16	28	23	39
gnd	296	299	455	451
galF	99	97	202	227
wcaL	3	1	3	2
wcaK	0	2	0	2
wzxC	1	1	1	1
wcaJ	0	1	0	1
cpsG	1	3	1	2
cpsB	1	1	2	1
fcl	0	0	0	0
gmd	0	0	0	0
wcaE	0	0	0	0
wcaD	4	1	6	2
wcaC	1	1	1	2
wcaA	1	1	1	1
wzc	2	0	2	0
