"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","K12_IAI1ref_starvation1","K12_IAI1ref_starvation2","K12_batch1","K12_batch2"
"2144","ynfF",45.961192802582,-0.241231096977392,0.404047752132276,-0.597036107005537,0.55048327413728,0.606199165223003,46.6160917903141,37.777302351506,48.9441127530479,50.50726431546
"2145","ibrB",15.508264830316,-0.40398304517021,0.686710185710045,-0.588287539018369,0.556339308172023,0.611856097102799,13.9848275370942,12.5924341171687,18.6200428951813,16.83575477182
"2146","yehU",151.141925703065,0.149298832352546,0.253827311103995,0.58819057611723,0.556404382133737,0.611856097102799,153.833102908036,163.701643523193,161.994373188077,125.038583192955
"2147","napG",5.79701621275858,-0.641148976850913,1.0907337129269,-0.58781439434052,0.556656881226943,0.611856097102799,4.66160917903141,4.19747803905623,6.38401470691929,7.94496292602741
"2148","rhaD",3.19074054300902,-0.823237264046081,1.39966107661451,-0.588169005912001,0.556418858883371,0.611856097102799,0,4.19747803905623,3.45800796624795,5.10747616673191
"2149","yghR",0.994581009820997,-0.985278850290239,1.68150279285288,-0.585951361174124,0.557908200847103,0.612946143415546,0,0,1.33000306394152,2.64832097534247
"2150","yjeH",70.6333012694998,-0.191753654310515,0.33406500879686,-0.574001015554183,0.565967114049966,0.621510863382312,55.9393101483769,75.554604703012,71.0221636144771,80.0171266121332
"2151","paaF",3.32452139114406,-0.810121456597326,1.42156826025552,-0.56987868908364,0.568759979899582,0.624287453529946,4.66160917903141,0,2.39400551509473,6.24247087045011
"2152","ycaD",86.2228762550566,-0.170886933956669,0.303935384645562,-0.56224757823427,0.57394734918467,0.62968851832017,60.6009193274083,100.739472937349,91.2382101863882,92.3129025690804
"2153","fsaA",30.596530726616,0.263540680311264,0.469603495459433,0.561198293580485,0.574662366111611,0.630180142308181,41.9544826112827,25.1848682343374,28.1960649555602,27.0507071052838
"2154","proA",625.379084593422,-0.0785553665644017,0.140779707076229,-0.558002060068683,0.576842977443677,0.63227774825651,638.640457527303,579.251969389759,607.545399608486,676.078511848142
"2155","abgA",11.8329986135846,0.412760887185554,0.748773604208461,0.551249249259914,0.581462823381362,0.637045812530578,23.308045895157,4.19747803905623,9.04402083480232,10.7824496853229
"2156","ydiA",62.6486514360646,0.195196167859911,0.354972448467411,0.54989103718519,0.582394112071574,0.637770175603426,83.9089652225653,50.3697364686747,64.1061476819812,52.2097563710373
"2157","yeiC",3.66822104096028,0.675142534397057,1.23186516720494,0.548065285366363,0.583647076012452,0.638845964981641,9.32321835806282,0,3.45800796624795,1.89165783953034
"2158","yebT",161.012994280847,-0.123028020365322,0.224646191552912,-0.547652375118694,0.583930619142215,0.638860144483211,139.848275370942,167.899121562249,164.920379928748,171.384200261448
"2159","ydhY",0.938415532262115,-0.916774891953311,1.68062179688567,-0.54549744246574,0.585411439037593,0.640183607025362,0,0,1.86200428951813,1.89165783953034
"2160","rspA",18.0571821507569,0.330664932556434,0.60738906861704,0.544403825556694,0.586163613851831,0.640709394585265,27.9696550741884,12.5924341171687,17.2900398312397,14.3765995804306
"2161","torY",11.4878215467384,0.404842807564585,0.745220901446854,0.543252083749367,0.586956250467702,0.641278902061195,9.32321835806282,16.7899121562249,11.7040269626854,8.13412870998045
"2162","ynfG",9.33671227373016,0.450716587371989,0.832492261897953,0.541406338533916,0.588227539240023,0.642103396610691,4.66160917903141,16.7899121562249,9.84202267316724,6.05330508649708
"2163","yegV",17.4642653036867,-0.350267897540651,0.647006680426482,-0.54136674030903,0.588254827136351,0.642103396610691,9.32321835806282,20.9873901952811,19.6840453463345,19.8624073150685
