	CMCP6_HS1	CMCP6_HS2	CMCP6_YJ016ref_HS1	CMCP6_YJ016ref_HS2
VV1_RS06080	3108	3597	3101	3594
VV1_RS06135	247	485	235	469
VV1_RS06145	2202	3051	2196	3049
VV1_RS06165	5864	7524	5835	7469
VV1_RS06170	6855	9049	6829	9012
VV1_RS06175	8122	7101	8113	7086
VV1_RS06185	8618	4435	8609	4428
VV1_RS06190	4893	5620	4894	5637
VV1_RS06195	734	447	730	439
VV1_RS06205	236	1009	233	991
VV1_RS06210	12983	13064	12889	12964
VV1_RS06215	1093	1448	1082	1439
VV1_RS06220	176	287	168	283
VV1_RS06225	8565	1790	8555	1789
VV1_RS06230	384	806	403	913
VV1_RS06250	5489	709	5515	707
VV1_RS06260	3625	758	3712	775
VV1_RS06265	38225	10855	38207	10842
VV1_RS06270	1125	1092	1080	1051
VV1_RS06280	242	805	237	786
VV1_RS06290	948	2152	947	2152
VV1_RS06300	1447	1760	1420	1674
VV1_RS06315	2525	1437	2520	1413
VV1_RS06325	519	1453	518	1436
VV1_RS06330	5082	5314	5079	5313
VV1_RS06335	8917	2714	8881	2702
VV1_RS06385	4799	995	4704	971
VV1_RS06410	575	899	562	892
VV1_RS06430	646	516	607	477
VV1_RS06450	2793	12135	2784	12082
VV1_RS06465	2341	2088	2327	2074
VV1_RS06475	3308	1298	2814	1042
VV1_RS06490	346	2286	346	2281
VV1_RS06495	57569	2577	57445	2567
VV1_RS06500	9048	1748	9000	1740
VV1_RS06510	8584	408	8053	365
VV1_RS06515	18401	912	18427	925
VV1_RS06520	21463	1317	21265	1294
VV1_RS06530	2606	2627	2670	2744
VV1_RS06535	7332	5369	7309	5336
VV1_RS06540	283	411	279	408
VV1_RS06560	719	967	691	953
VV1_RS06575	10121	4983	10118	4978
VV1_RS06580	276	820	274	816
VV1_RS06585	138	725	131	708
VV1_RS06610	336	468	319	447
VV1_RS06615	5732	7841	5743	7844
VV1_RS06625	614	1161	614	1161
VV1_RS06650	436	333	435	331
VV1_RS06660	795	1362	795	1354
CYSJ	577	469	579	473
VV1_RS06675	1656	1198	1480	1083
VV1_RS06680	4460	2434	5105	2652
VV1_RS06715	3728	6890	3716	6810
VV1_RS06720	910	1190	899	1137
VV1_RS06725	1591	1778	1673	1809
VV1_RS06735	1637	1453	1632	1449
VV1_RS06740	5965	4908	5962	4897
VV1_RS06745	1018	869	1014	860
VV1_RS06755	7178	4398	7171	4391
VV1_RS06760	704	670	704	670
VV1_RS06770	2039	7770	1811	6417
VV1_RS06780	280	1661	280	1655
VV1_RS06790	1391	5449	1351	5258
VV1_RS06795	761	2597	740	2540
VV1_RS06800	840	2066	838	2049
VV1_RS06805	1722	2879	1709	2832
VV1_RS06810	487	1898	479	1873
VV1_RS06855	4761	3871	4748	3859
VV1_RS06860	179	217	178	217
VV1_RS06875	935	2478	938	2522
VV1_RS06880	1628	2075	1588	2054
VV1_RS06885	1239	1921	1250	1924
TLDD	4984	3599	4943	3499
VV1_RS06895	20228	17955	20177	17864
VV1_RS06905	560	337	559	335
VV1_RS06930	2913	125	2884	123
VV1_RS06935	255	801	255	795
VV1_RS06945	241	393	241	393
VV1_RS06960	838	5000	814	4992
VV1_RS06965	1035	3824	1032	3788
VV1_RS06980	3577	2753	3560	2738
VV1_RS06985	4703	2371	4665	2342
VV1_RS06990	1773	918	1760	904
VV1_RS07005	848	2969	862	2983
VV1_RS07015	515	3564	509	3379
VV1_RS07025	3548	9396	3542	9325
VV1_RS07030	1430	3299	1437	3334
VV1_RS07035	2407	6170	2156	5917
VV1_RS07045	445	859	445	859
VV1_RS07090	221	489	219	487
VV1_RS07095	277	796	273	794
VV1_RS07150	1041	970	1021	944
VV1_RS07160	1574	1246	1508	1064
VV1_RS07170	232	1043	228	1042
VV1_RS07175	418	603	418	604
VV1_RS07180	670	866	660	860
VV1_RS07185	347	811	346	805
VV1_RS07205	1540	5275	1477	5195
VV1_RS07210	1451	5739	1208	5551
VV1_RS07215	8605	4582	8466	4465
VV1_RS07220	3225	2339	3221	2336
VV1_RS07235	2510	7721	2507	7738
VV1_RS07240	969	5795	966	5775
VV1_RS07250	1896	904	1944	914
VV1_RS07260	582	461	581	459
VV1_RS07265	2853	1218	2848	1216
GAPA	3570	2308	3191	2069
VV1_RS07290	43669	11494	43680	11488
VV1_RS07295	7008	7913	7028	7948
VV1_RS07300	756	228	747	223
VV1_RS07305	152	178	152	179
VV1_RS07310	6229	1374	6205	1359
VV1_RS07320	851	1203	840	1160
VV1_RS07340	765	1898	765	1894
VV1_RS07345	965	1672	964	1660
VV1_RS07375	15230	4832	18437	5714
VV1_RS07385	2580	5462	2576	5448
VV1_RS07400	1168	2142	1166	2135
VV1_RS07405	373	418	308	301
VV1_RS07425	4288	2217	4270	2198
VV1_RS07435	2358	5651	2335	5596
VV1_RS07445	1062	4768	1060	4760
RELA	16152	7561	16009	7418
VV1_RS07510	7242	10527	6264	8874
VV1_RS07515	25420	8864	20705	8058
VV1_RS07520	2384	1674	2356	1630
VV1_RS07600	24537	30674	24109	30084
VV1_RS07605	11079	14695	11075	14689
VV1_RS07610	4730	3433	4686	3377
VV1_RS07620	15691	7886	15692	7886
VV1_RS07630	1447	4706	1440	4673
VV1_RS07640	607	735	595	722
VV1_RS07645	1819	3200	1858	3275
VV1_RS07650	1735	8470	1697	8354
VV1_RS07680	5637	7396	5598	7357
VV1_RS07690	638	474	681	515
VV1_RS07695	89	174	89	156
VV1_RS07735	7337	16133	7307	16041
VV1_RS07740	16590	5264	17291	5795
VV1_RS07750	3842	2328	2188	1254
VV1_RS07755	593	400	529	388
VV1_RS07760	422	22805	414	22368
VV1_RS07765	231	6514	228	6454
VV1_RS07785	3619	2658	3588	2669
VV1_RS07790	120	253	105	237
VV1_RS07800	343	4329	345	4328
VV1_RS07810	805	613	790	610
VV1_RS07820	11452	10908	10955	10167
VV1_RS07830	62	103	62	103
VV1_RS07835	779	1083	772	1076
VV1_RS07850	200165	3522	87341	3038
VV1_RS07855	92420	55555	88873	50857
VV1_RS07860	1962	3308	1960	3298
VV1_RS07865	869	765	868	763
VV1_RS07870	390	348	403	361
VV1_RS07875	823	505	803	476
VV1_RS07880	288	261	286	257
VV1_RS07885	50	62	49	62
VV1_RS07895	498	243	498	239
VV1_RS07900	260	128	260	128
VV1_RS07905	66	62	66	62
VV1_RS07910	112	118	112	118
VV1_RS07915	1165	1708	1163	1707
VV1_RS07920	1900	5536	1882	5364
VV1_RS07930	2058	2124	2024	2087
VV1_RS07935	1014	1237	780	1035
VV1_RS07945	1168	3264	1156	3219
VV1_RS07950	2089	7198	2049	7072
VV1_RS07955	752	3139	738	3054
VV1_RS07960	4113	3208	4109	3200
VV1_RS07970	3674	2967	3643	2939
HFLB	29756	35712	29750	35655
FOLP	233	1021	230	1011
VV1_RS08070	293	248	291	208
VV1_RS08090	25022	24894	24952	24818
VV1_RS08095	9115	1591	8866	1540
VV1_RS08110	460	132	474	134
VV1_RS08115	659	102	618	96
VV1_RS08120	2339	1677	2333	1676
VV1_RS08145	1030	2164	1030	2146
VV1_RS08150	886	4247	882	4239
VV1_RS08160	1431	5513	1075	3563
VV1_RS08165	4933	28184	4051	24259
VV1_RS08170	2559	13207	2555	13205
VV1_RS08180	1769	4542	1749	4492
VV1_RS08190	1464	1642	1459	1623
VV1_RS08200	3402	9025	3323	8913
VV1_RS08205	2885	1124	2863	1090
VV1_RS08210	1020	6769	1007	6601
VV1_RS08215	376	2997	375	2993
VV1_RS08220	345	1160	343	1159
VV1_RS08240	1018	727	1004	730
VV1_RS08245	564	366	555	356
VV1_RS08270	29	38	26	37
VV1_RS08275	223	150	223	150
VV1_RS08285	58	174	42	154
VV1_RS08300	423	490	419	489
VV1_RS08305	191	219	189	211
VV1_RS08310	226	221	223	219
VV1_RS08315	76	301	73	295
VV1_RS08320	1004	669	744	504
VV1_RS08325	212	897	204	885
VV1_RS08330	563	954	562	953
VV1_RS08335	164	317	164	315
VV1_RS08345	32	293	32	291
VV1_RS08350	78	1860	78	2011
VV1_RS08375	106	1987	93	1825
VV1_RS08380	510	3678	423	3241
VV1_RS08385	162	789	147	714
VV1_RS08395	1342	2064	1329	2036
VV1_RS08400	970	2201	960	2079
VV1_RS08425	5988	2028	5969	2023
VV1_RS08430	31679	12340	31631	12317
VV1_RS08435	1972	1188	1962	1154
VV1_RS08445	4431	6017	4383	5955
VV1_RS08455	1309	40382	1289	39723
VV1_RS08460	10926	6539	10319	6096
VV1_RS08470	153	141	153	140
VV1_RS08475	617	1800	612	1780
VV1_RS08480	1410	810	1411	814
VV1_RS08505	5976	569	5943	552
VV1_RS08520	562	197	558	189
VV1_RS08575	4853	9768	4565	9117
VV1_RS08580	314	552	260	414
VV1_RS08595	1424	1901	1342	1795
