	IAI1_batch1	IAI1_batch2	IAI1_chemostat1	IAI1_chemostat2
ydcI	491	332	3027	2597
ydcJ	56	27	175	135
mdoD	1437	994	2242	1858
ydcK	41	28	72	68
tehA	100	60	145	103
ydcL	417	283	926	846
ydcO	75	41	110	75
ydcP	1475	1097	1035	973
ydcR	269	169	240	209
ydcS	28	20	53	51
ydcT	9	15	12	9
ydcU	13	9	18	14
ydcV	19	12	13	23
ydcW	97	71	135	122
yncB	137	113	966	812
yncC	62	51	133	102
yncD	337	211	218	160
yncE	8137	3875	7371	6550
ansP	444	325	190	161
yncG	7	9	24	13
nhoA	90	71	125	135
narV	36	13	42	40
narW	11	7	20	13
narY	25	27	57	41
narZ	55	38	68	63
narU	9	10	9	13
yddG	149	115	108	108
fdnG	112	82	197	188
fdnH	29	30	62	64
fdnI	47	39	75	69
adhP	85	40	91	87
sfcA	1784	1315	1903	1868
ddpD	24	7	84	73
ddpC	19	11	50	60
ddpB	9	4	31	39
ddpA	16	14	124	99
dos	286	206	322	234
yddV	355	230	351	239
yddW	255	195	377	352
gadC	76	59	119	103
gadB	162	115	172	154
ydeM	21	11	274	240
ydeN	120	68	2786	2577
ydeO	8	5	6	6
ydeP	211	168	231	203
ydeQ	70	70	15	15
lsrK	79	57	552	462
lsrR	130	110	1077	936
lsrC	17	13	240	161
lsrD	12	11	175	127
lsrB	28	30	666	569
lsrF	70	39	751	693
tam	35	28	201	163
yneE	66	49	62	51
uxaB	164	108	275	239
yneF	215	177	253	205
yneH	283	207	227	206
yneI	147	138	143	110
ydeA	128	107	64	46
marC	108	85	95	83
eamA	422	264	721	574
ydeE	66	48	109	83
ydeH	230	194	656	527
dcp	2048	1488	2441	2236
ydfG	1567	1097	1971	1654
ydfH	357	285	419	352
ydfT	32	33	70	41
ydfU	6	3	13	12
rspB	105	77	242	168
rspA	243	159	738	572
ynfC	235	166	370	299
ynfF	50	46	85	64
ynfG	19	12	19	23
ynfH	127	81	123	122
dmsD	185	137	150	127
clcB	39	30	33	24
ynfK	132	121	745	632
dgsA	996	689	4282	3311
ynfL	61	37	55	43
ynfM	176	96	56	48
ydgD	175	125	231	198
ydgG	138	120	90	102
pntB	26422	18184	13964	13573
pntA	35926	23832	18161	17493
ydgH	3349	2354	6688	5705
ydgI	152	113	178	149
folM	207	148	355	331
rstA	661	499	742	762
rstB	738	532	882	685
tus	117	62	281	240
fumC	814	421	4777	3900
fumA	3208	2383	26011	24513
manA	657	491	1017	988
ydgA	2375	1778	2036	1908
uidC	13	12	46	28
uidB	7	8	63	43
uidA	21	18	273	234
hdhA	675	540	724	700
malI	81	64	137	144
malX	112	108	306	305
malY	393	300	601	557
add	183	114	428	351
ydgJ	1395	938	1561	1313
rsxD	272	153	183	156
rsxG	214	105	146	107
rsxE	135	91	99	65
nth	151	79	108	84
ydgR	210	123	216	163
gst	644	441	1874	1653
pdxY	490	327	557	541
tyrS	6087	4221	4328	4031
pdxH	663	472	718	696
anmK	378	257	848	753
ydhJ	39	29	29	39
ydhF	233	161	508	446
nemA	222	142	236	250
rnt	138	77	95	88
ydhO	282	190	721	623
ydhP	361	256	91	75
purR	2158	1563	2180	1977
ydhB	118	85	125	89
ydhC	66	51	56	45
cfa	585	305	416	323
ribC	887	639	985	892
mdtK	152	102	211	150
ydhQ	587	415	938	760
ydhS	19	17	35	30
ydhT	17	17	50	40
ydhU	42	32	98	68
ydhX	25	16	43	56
ydhV	26	16	108	69
ydhY	4	2	11	6
pykF	5250	3691	1771	1740
ynhG	252	200	343	281
sufS	805	297	550	380
sufC	603	219	337	223
sufB	1221	457	621	462
ydiK	464	299	453	380
ydiM	5	6	36	18
ydiN	3	5	52	41
ydiB	53	34	82	77
aroD	382	221	421	368
ydiF	25	9	20	26
ydiO	27	14	38	21
ydiP	75	47	138	137
ydiQ	7	9	21	13
ydiR	13	17	32	30
ydiS	18	11	23	19
ydiD	32	36	142	82
pps	7622	5474	25294	23474
ydiA	179	108	275	223
aroH	476	300	164	157
ydiV	253	197	433	312
btuD	246	164	337	288
btuC	262	184	317	235
pheT	15295	10576	9569	8861
pheS	5466	3745	2910	2611
thrS	19354	14094	24342	21660
ydiY	91	58	48	43
pfkB	241	90	187	174
yniA	145	108	1406	1235
yniC	338	240	324	312
ydjN	7611	5672	2626	2410
katE	82	54	180	198
chbF	107	77	202	241
chbR	80	80	249	226
chbC	36	40	217	187
nadE	1778	1244	1256	1169
ydjQ	92	51	63	56
astE	6	12	69	73
astB	12	9	102	68
astA	12	6	85	68
astC	11	11	144	101
xthA	645	427	584	546
ydjX	45	29	92	66
ydjZ	37	26	47	50
ynjE	343	270	912	871
ynjF	57	45	62	53
gdhA	12043	7309	10066	10826
topB	1081	740	1775	1512
selD	1449	961	2674	2390
sppA	1164	819	1109	943
ansA	391	257	393	347
pncA	466	292	582	481
ydjE	35	25	84	68
ydjF	241	227	525	400
ydjG	89	66	167	149
ydjH	43	28	69	88
ydjI	53	36	75	118
ydjJ	43	41	109	85
ydjK	27	24	78	86
ydjL	32	35	87	78
gapA	42272	29884	18990	17862
yeaD	595	325	297	281
yeaE	257	165	330	327
mipA	4362	3193	2640	2369
yeaG	284	188	327	286
yeaH	45	32	93	56
yeaI	2	3	10	5
yeaJ	155	113	165	115
yeaM	70	37	93	57
yeaN	50	40	58	37
yeaP	940	695	815	623
yeaS	26	25	52	42
yeaT	70	62	236	182
yeaU	67	44	90	57
yeaV	21	15	444	353
yeaW	56	34	1665	1601
yeaX	55	33	1104	1051
rnd	235	156	420	363
fadD	429	319	5864	5214
yeaZ	581	395	471	399
yoaA	515	332	476	421
sdaA	151	112	205	151
adrB	31	41	69	61
yoaE	335	233	507	469
manX	5828	3975	44991	40214
manY	4750	3406	33046	30451
rrmA	228	185	185	151
kdgR	1301	1050	2177	1910
yebQ	16	19	43	38
htpX	4203	3013	5256	4539
prc	5880	4217	5361	4981
yebS	180	115	200	137
yebT	466	341	439	358
yebU	340	239	231	199
pphA	37	26	73	54
yebZ	864	636	223	171
yobB	124	69	164	169
exoX	210	131	274	248
ptrB	208	111	194	185
yebE	238	150	471	439
purT	1577	1101	1003	819
eda	1079	752	545	502
edd	684	421	305	288
zwf	4412	2853	2229	2050
yebK	368	234	1147	996
pykA	1852	1175	2861	2940
lpxM	616	421	580	527
yebA	3632	2652	3733	3229
znuA	19263	13534	8837	8091
znuC	892	656	744	653
znuB	767	571	609	555
ruvB	576	377	713	585
ruvA	367	223	443	389
yebB	24	14	21	15
yebC	3200	2356	2404	2336
aspS	5329	3743	4289	4011
yecE	61	35	106	94
yecO	293	185	174	137
yecP	467	364	334	289
torY	4	6	55	40
cutC	641	459	696	600
argS	2985	2213	2313	2034
flhA	125	95	159	149
flhB	6	5	11	12
cheZ	31	34	55	38
cheB	12	11	16	14
cheR	10	9	10	5
tap	16	7	24	19
tar	15	7	13	11
cheA	56	36	67	55
motB	19	12	18	20
motA	16	8	14	6
otsA	111	85	165	129
otsB	24	20	40	35
araH	29	22	407	384
araG	54	31	794	739
araF	34	19	1714	1451
tyrP	331	264	301	218
yecA	795	606	1809	1467
uvrC	968	704	728	599
uvrY	1302	1077	1238	968
sdiA	260	180	296	230
yecC	381	264	261	204
yecS	283	182	185	152
yedO	771	435	461	432
fliY	6432	4397	4945	4854
fliA	3	3	7	9
fliD	22	12	25	18
amyA	132	85	257	222
yedE	1487	1062	6468	5953
fliF	9	3	7	4
fliG	13	8	7	10
fliH	6	3	9	3
fliI	7	3	6	4
fliM	13	5	14	16
fliP	6	4	4	12
fliR	14	10	45	25
rcsA	63	38	334	245
yedP	19	23	42	44
yedQ	177	101	280	232
yedI	312	230	425	387
yedA	24	14	44	30
